Source,GoogleTranslate,human1,human2,human3,human4
"— Слышал. Говорят, человек, превосходящий меру всякого вероятия, десять миллионов, говорят, нажил.","- I heard. They say that a man who exceeds the measure of all probability, ten million, they say, has amassed.",“I have heard it said that he is a man of abilities beyond all belief: he has made ten millions.”,"“I have heard tales beyond belief concerning him—for instance, that he has acquired ten million roubles.”","“I’ve heard. They say he’s a man who surpasses all belief, he’s made ten million, they say.”",
"— Другие тоже не будут в обиде, я сам служил, дело знаю…","- Others will not be offended either, I myself served, I know the matter ...","Tchitchikov understood the hint Ivan Antonovitch had given him, and said: “Other people will not be the worse for it either; I’ve been in the service, I understand business....”","“Yes, but the absence of others will not altogether invalidate the transaction. I too have been in the service, and know how things can be done.”","“The others won’t come out losers, I’ve been in the service myself, I know the business …”",Chichikov grasped the hint the other had thrown out and said: “The others won’t suffer; I was in the service myself; I know what it’s all about—”
"— Верхом на гнедой лошади! — подхватил Николаша, нагибаясь к окну. — Ты думаешь, Алексаша, наш чагравый хуже его?","— Riding a bay horse! Nikolasha picked up, bending over to the window. - Do you think, Alexasha, our chagravy is worse than him?","“On a roan horse,” Nikolasha put in, stooping down to the window. “Do you think it’s a better horse than our grey, Alexasha?”","“Yes, and on a grey horse,” added his brother. “Who is Platon Mikhalitch?” inquired Chichikov.","“Riding a bay horse,” Nikolasha added, bending down to the window. “Do you think our gray is worse than that, Alexasha?”",
"«Куска хлеба нет, а шампанское есть!» — подумал Чичиков.","“There is no piece of bread, but there is champagne!” thought Chichikov.","“Hasn’t a crust of bread, but has champagne!” thought Tchitchikov.","“Nothing to eat, yet champagne to drink!” reflected Chichikov.","“Not a crust of bread, yet he’s got champagne!” thought Chichikov.",
"— Благодетель! вы все можете сделать. Не закон меня страшит, — я перед законом найду средства, — но то, что неповинно я брошен в тюрьму, что я пропаду здесь, как собака, и что мое имущество, бумаги, шкатулка… спасите!","- Benefactor! you can do everything. It is not the law that frightens me - I will find means before the law - but the fact that I am innocently thrown into prison, that I will disappear here like a dog, and that my property, papers, casket ... save me!","“Benefactor! you can do anything. It is not the law that terrifies me—I can find means for outwitting the law—but the fact that ... I have been flung into prison, that I am lying here abandoned like a dog, while my property, my papers, my case ... save me!”","Again, even if I were to make the attempt, the Prince is a strict administrator, and would refuse on any consideration to release you.” “Yes, but for you all things are possible. It is not the law that troubles me: with that I could find a means to deal. It is the fact that for no offence at all I have been cast into prison, and treated like a dog, and deprived of my papers and dispatch-box and all my property. Save me if you can.”","“Benefactor! you can do anything. I’m not afraid of the law—I can find ways to deal with the law—but the fact that I’ve been thrown into jail innocently, that I will perish here like a dog, and that my property, my papers, my chest … save me!”",
"Порфирий, взявши щенка под брюхо, унес его в бричку.","Porfiry, taking the puppy under his belly, carried him into the britzka.","Porfiry, putting his arm around the puppy, carried him off to the chaise.","Porphyri lifted up the puppy, and bore it downstairs.",Porfiry took the puppy under the belly and carried him out to the britzka.,"Porfirii, picking up the puppy under its belly, bore it off to the carriage."
"— А право, Андрей Иванович, вам бы очень не мешало жениться.","- And really, Andrey Ivanovich, it would not hurt you to get married.","He chose another moment, this time just before supper, and after talking of one thing and another, said suddenly: “You know really, Andrey Ivanovitch, it wouldn’t be at all amiss for you to get married.”","“Do you know, it would do you no harm to marry.”","“But really, Andrei Ivanovich, it wouldn’t do you any harm to get married.”",
— А вы что купили такое?,- What did you buy?,"“Why, what have you bought?”",“In connection with a purchase?” “Yes.,“And what is it you’ve bought?”,“But just what was it you bought?”
"— Ну вот видишь, вот уж и нечестно с твоей стороны: слово дал, да и на попятный двор.","- Well, you see, that's really dishonest of you: you gave your word, and back down the yard.","“Come, now, you see that’s not honourable on your part: you have given your word—and now you are going back on it.”","Nor are you playing fair. You have given me your word of honour, yet now you are trying to back out of it.”","“Well, there, you see, that’s dishonest on your part; you gave your word, and now you’re backing out.”","“There, you see now; that’s already actually dishonest on your part— you give your word and then start backing out.”"
"— К вам у меня есть письмецо, — сказал Чичиков, вынув из кармана письмо Плюшкина.","""I have a letter for you,"" said Chichikov, taking Plyushkin's letter out of his pocket.","“I have a letter for you,” said Tchitchikov, taking Plyushkin’s letter out of his pocket.","“I have a letter for you, Ivan Grigorievitch,” went on Chichikov aloud as he produced from his pocket Plushkin’s epistle.","“I’ve got a little letter for you,” Chichikov said, taking Plyushkin’s letter from his pocket.","“I have a little note for you,” said Chichikov, taking Pliushkin’s letter out of his pocket."
"— Вы думаете: «Дурак, дурак этот Петух! зазвал обедать, а обеда до сих пор нет». Будет готов, почтеннейший. Не успеет стриженая девка косы заплесть, как он поспеет.","- You think: “Fool, this Rooster is a fool! called for dinner, but there is still no dinner. Will be ready, sir. The short-haired girl will not have time to braid her braids, as he will be in time.","“You are thinking, ‘He is a fool, he is a fool, this Pyetuh! He has invited me to dinner and there is no dinner all this time.’ It will soon be ready, my good sir, in less time than it takes a cropped wench to plait her hair, it will be here.”","“You are thinking to yourself: ‘That fool of a Pietukh has asked me to dinner, yet not a bite of dinner do I see.’ But wait a little. It will be ready presently, for it is being cooked as fast as a maiden who has had her hair cut off plaits herself a new set of tresses.”","“You’re thinking: ‘He’s a fool, a fool, this Petukh! Got me to stay for dinner, and there’s still no dinner.’ It’ll be ready, most honorable sir. Quicker than a crop-headed wench can braid her hair.”",
"Полковник воскипел благородным негодованьем. Тут же, схвативши бумагу и перо, написал восемь строжайших запросов: на каком основании комиссия построений самоуправно распорядилась с неподведомственными ей чиновниками? Как мог допустить главноуправляющий, чтобы председатель, не сдавши своего поста, отправился на следствие? и как мог видеть равнодушно комитет сельских дел, что даже не существует комиссии прошений?","The Colonel fumed with noble indignation. Immediately, grabbing paper and pen, he wrote eight strict requests: on what basis did the construction commission arbitrarily dispose of officials not under its control? How could the chief executive allow the chairman, without giving up his post, to go to the investigation? and how could the committee of rural affairs see with indifference that there was not even a commission of petitions?",The colonel boiled over with righteous indignation; he immediately wrote off eight severe inquiries: on what grounds the Committee of Construction without authorisation disposed of officials who were not in their department? How could the chief steward allow the president to go off to an investigation without giving up his post? And how can the Board of Rural Affairs see with indifference that the Committee for All Sorts of Petitions doesn’t even exist?,"At once the Colonel flamed to noble rage. Pressing Chichikov ’s hand in token of gratitude for the information which the guest had furnished, he took paper and pen, and noted eight searching questions under three separate headings: (1) “Why has the Committee of Management presumed to issue orders to officials not under its jurisdiction?” (2) “Why has the Chief Manager permitted his predecessor, though still in retention of his post, to follow him to another Department?” and (3) “Why has the Committee of Estate Affairs suffered the Office for the Reception of Reports and Returns to lapse?”",The colonel seethed with noble indignation. Seizing pen and paper he straightaway wrote eight most severe inquiries: on what grounds had the building commission arbitrarily disposed of officials outside its jurisdiction? How could the steward-in-chief have allowed the chairman to go on an investigation without handing over his post? And how could the village affairs committee regard with indifference the fact that the committee for petitions did not even exist?,
— Да ведь они по ревизской сказке числятся? — сказал секретарь.,"- Why, they are listed in the revision tale? the secretary said.","“But they are all on the census list, aren’t they?” said the secretary.",“And are they entered on the revision lists?” asked the secretary.,“But aren’t they listed in the census reports?” said the secretary.,"“Yes, but they’re listed in the census of the Bureau of Audits, are they not?” asked the secretary."
"И несколько раз задохнувшись, вырывался с новою силою генеральский хохот, раздаваясь от передней до последней комнаты в высоких, звонких генеральских покоях.","And choking several times, the general's laughter broke out with renewed vigor, resounding from the hall to the last room in the high, resonant general's chambers.","And several times after a rest the general’s laughter broke out again with renewed violence, resounding from the entrance hall to the furthest room in the general’s lofty echoing apartments.","Oh, my goodness!”","And, having run out of breath several times, the general’s guffaw would burst out with renewed force, ringing throughout the general’s high-ceilinged, resonant apartments from the front hall to the last room.",
— Как же? да у тебя ведь прежде был Вахрамей.,"— How so? Yes, you had Vakhramei before.",“How is that? You did have a Vahramey?”,"“Indeed! But you USED to have a man called Vakhramei, didn’t you?”",“How’s that? You used to have a Vakhramey.”,"“But how is that? Why, you used to have a Vakhramei.”"
"— Помилуйте, что за просьба! Вы — полный господин, выбирайте какой хотите экипаж: всё в вашем распоряжении.","- What a request! You are a complete master, choose which crew you want: everything is at your disposal.","“Good heavens, what a thing to ask! Everything here is at your disposal, take any carriage you like, everything is at your service.”","“A strange fellow, this Tientietnikov!” thought Chichikov, and then added aloud: “Yes, I will go and see him at ten o’clock to-morrow; but since my britchka is not yet altogether in travelling order, would you be so good as to lend me your koliaska for the purpose?”","“Good gracious, what a request! You are full master, choose any carriage you like, everything’s at your disposal.”",
"Барин барахтался и, желая выпутаться, перевернулся на спину, брюхом вверх, запутавшись еще в сетку. Боясь оборвать сеть, плыл он вместе с пойманною рыбою, приказавши себя перехватить только впоперек веревкой. Перевязавши его веревкой, бросили конец ее на берег. Человек с двадцать рыбаков, стоявших на берегу, подхватили конец и стали бережно тащить его. Добравшись до мелкого места, барин стал на ноги, покрытый клетками сети, как в летнее время дамская ручка под сквозной перчаткой, — взглянул вверх и увидел гостя, в коляске взъезжавшего на плотину. Увидя гостя, кивнул он головой. Чичиков снял картуз и учтиво раскланялся с коляски.","The master floundered and, wanting to extricate himself, rolled over onto his back, belly up, still entangled in the net. Fearing to break the net, he swam along with the caught fish, ordering himself to be intercepted only across the rope. Having tied it with a rope, they threw the end of it onto the shore. A man with twenty fishermen standing on the shore picked up the line and carefully began to drag it. Having reached a shallow place, the master stood up, covered with cages of the net, like a lady's pen under a transparent glove in the summer, looked up and saw a guest in a carriage driving up to the dam. Seeing the guest, he nodded his head. Chichikov took off his cap and bowed politely from the carriage.","The gentleman floundered about and trying to disentangle himself, turned on his back, belly upwards, and became more entangled than ever. Afraid of breaking the net he swam together with the fish that had been caught, telling them to tie a cord round him. Tying him with the cord they flung the end of it on to the bank. Some twenty fishermen standing on the bank caught hold of the end and began carefully hauling it in. When he reached shallow water the gentleman stood up, covered with the meshes of the net like a lady ’s hand covered with her openwork summer glove, glanced upwards and caught sight of the visitor driving along the dam in the carriage. Seeing a visitor he nodded to him. Tchitchikov took off his cap and politely bowed from the carriage.","Yes, even if he had turned head over heels in an effort to dive, the water would persistently have borne him up; and the same if, say, a couple of men had jumped on his back— the only result would have been that he would have become a trifle deeper submerged, and forced to draw breath by spouting bubbles through his nose. No, the cause of his agitation was lest the net should break, and the fish escape: wherefore he was urging some additional peasants who were standing on the bank to lay hold of and to pull at, an extra rope or two. “That must be the barin—Colonel Koshkarev,” said Selifan. “Why?” asked Chichikov. “Because, if you please, his skin is whiter than the rest, and he has the respectable paunch of a gentleman.” Meanwhile good progress was being made with the hauling in of the barin; until, feeling the ground with his feet, he rose to an upright position, and at the same moment caught sight of the koliaska, with Chichikov seated therein, descending the declivity.","The squire floundered and, wishing to disentangle himself, turned over on his back, belly up, getting still more tangled in the net. Fearful of tearing it, he was floating together with the caught fish, only ordering them to tie a rope around him. When they had tied a rope around him, they threw the end to shore. Some twenty fishermen standing on the shore picked it up and began carefully to haul him in. On reaching a shallow spot, the squire stood up, all covered with the meshes of the net, like a lady’s hand in a net glove in summer—looked up, and saw the visitor driving onto the dam in his coach. Seeing the visitor, he nodded to him. Chichikov took off his cap and bowed courteously from his coach.",
"Ухватливый и ловкий детина лет семнадцати, в красивой рубашке розовой ксандрейки, принес и поставил перед ними графины с водой и разноцветными квасами всех сортов, шипевшими, как газовые лимонады. Поставивши пред ними графины, он подошел к дереву и, взявши прислоненный к нему заступ, отправился в сад. У братьев Платоновых вся дворня работала в саду, все слуги были садовники, или лучше сказать, слуг не было, но садовники исправляли иногда эту должность. Брат Василий все утверждал, что без слуг можно обойтись. Подать что-нибудь может всякий, и для этого не стоит заводить особого сословья; что будто русский человек по тех пор только хорош, и расторопен, и красив, и развязен, и много работает, покуда он ходит в рубашке и зипуне, но что, как только заберется в немецкий сертук — станет и неуклюж, и некрасив, и нерасторопен, и лентяй. Он утверждал, что и чистоплотность у него содержится по тех пор, покуда он еще носит рубашку и зипун, и что, как только заберется в немецкий сертук — и рубашки не переменяет, и в баню не ходит, и спит в сертуке, и заведутся у него под сертуком и клопы, и блохи, и черт знает что. В этом, может быть, он был и прав. В деревне их народ одевался как-то особенно щеголевато и опрятно, и таких красивых рубашек и зипунов нужно было далеко поискать.","A quick-witted and dexterous fellow of about seventeen, in a beautiful shirt of a pink xandreyka, brought and placed in front of them carafes of water and multi-colored kvass of all kinds, hissing like gas lemonades. Putting the decanters before them, he went up to the tree, and taking the spade that was leaning against it, went into the garden. For the Platonov brothers, all the servants worked in the garden, all the servants were gardeners, or rather, there were no servants, but gardeners sometimes corrected this position. Brother Vasily kept insisting that servants could be dispensed with. Anyone can submit something, and for this it is not necessary to start a special estate; that since then a Russian person has only been good, and quick, and handsome, and swagger, and works hard as long as he walks in a shirt and a coat, but that as soon as he gets into a German frock coat, he will become clumsy, and ugly, and slow , and lazy. He maintained that he maintained cleanliness as long as he was still wearing a shirt and an zipun, and that as soon as he got into a German coat, he wouldn’t change his shirt, didn’t go to the bathhouse, and slept in a coat, and they started there are bedbugs and fleas and the devil knows what under his coat. In this he may have been right. In the village, their people dressed in a particularly dapper and neat way, and such beautiful shirts and zipuns had to be looked for far away.","A smart deft youth of seventeen in a handsome pink cotton shirt brought a decanter of water and bottles of kvasseq of various kinds and colours, fizzing like effervescent lemonade. After setting the decanters before them he went up to a tree and, picking up a spade that was leaning against it, went off into the garden. At the Platonovs’ all the house serfs worked in the garden, all the servants were gardeners, or to put it more correctly, there were no servants, but the gardeners sometimes performed their duties. Vassily Platonov always maintained that one could do without servants at all: any one, he said, could hand things, and it was not necessary to have a separate class of people to do it; and that a Russian is only nice and alert and handsome and unconstrained and works well so long as he wears a shirt and jerkin, but that as soon as he gets into a German coat he becomes ungainly and ugly and lazy and dawdling. He even declared that the peasants’ cleanliness was only preserved so long as they wore the Russian shirt and jerkin, and that as soon as they got into a German coat they gave up changing their shirts and going to the bath, and took to sleeping in their coats and that bugs, fleas and God knows what besides began to breed under their coats. Perhaps he was right in this. In their villages the peasants dressed with peculiar neatness and smartness, and one might have looked far to find such handsome shirts and jerkins.","Vassili invited Chichikov to seat himself, and the party approached, for that purpose, the benches under the lime trees; after which a youth of about seventeen, and clad in a red shirt, brought decanters containing various kinds of kvass (some of them as thick as syrup, and others hissing like aerated lemonade), deposited the same upon the table, and, taking up a spade which he had left leaning against a tree, moved away towards the garden. The reason of this was that in the brothers’ household, as in that of Kostanzhoglo, no servants were kept, since the whole staff were rated as gardeners, and performed that duty in rotation—Vassili holding that domestic service was not a specialised calling, but one to which any one might contribute a hand, and therefore one which did not require special menials to be kept for the purpose. Moreover, he held that the average Russian peasant remains active and willing (rather than lazy) only so long as he wears a shirt and a peasant’s smock; but that as soon as ever he finds himself put into a German tailcoat, he becomes awkward, sluggish, indolent, disinclined to change his vest or take a bath, fond of sleeping in his clothes, and certain to breed fleas and bugs under the German apparel. And it may be that Vassili was right. At all events, the brothers’ peasantry were exceedingly well clad—the women, in particular, having their head-dresses spangled with gold, and the sleeves of their blouses embroidered after the fashion of a Turkish shawl.","An adroit and deft lad of about seventeen, in a handsome pink cotton shirt, brought and set down before them carafes of water and a variety of many-colored kvasses that fizzed like lemonade. Having set the carafes down before them, he went over to a tree and, taking the hoe that was leaning against it, went to the garden. All the household serfs of the Platonov brothers worked in the garden, all the servants were gardeners, or, better, there were no servants, but the gardeners sometimes performed their duties. Brother Vassily always maintained that one could do without servants. Anyone can bring anything, and it was not worth having a special class of people for that; the Russian man is good, efficient, handsome, nimble, and hardworking only as long as he goes about in a shirt and homespun jacket, but as soon as he gets into a German frock coat, he becomes awkward, uncomely, inefficient, and lazy. He maintained that he keeps himself clean only so long as he wears a shirt and homespun jacket, but as soon as he gets into a German frock coat, he stops changing his shirt, does not go to the bathhouse, sleeps in the frock coat, and under it breeds bedbugs, fleas, and devil knows what. In this he may even have been right. The people on their estate dressed somehow especially neatly and nattily, and one would have had to go far to find such handsome shirts and jackets.",
"— Чего? — спросил тот, выпуская кудреватый дым.","- What? he asked, puffing out curly smoke.","“What’s that?” asked the other, letting off coils of smoke.","“What is that?” asked his host. “A female friend or two,” replied Chichikov.","“What is that?” the other responded, letting out curls of smoke.",
«Какой странный человек этот Чичиков!» — подумал про себя Тентетников.,"""What a strange man this Chichikov is!"" Tentetnikov thought to himself.",“What a strange fellow this Tchitchikov is!” thought Tyentyetnikov to himself.,"“A curious fellow, this Tientietnikov!” thought Chichikov to himself.",“What a strange man this Chichikov is!” Tentetnikov thought to himself.,
"— Извините, я не очень понимаю… что ж это выходит, историю какого-нибудь времени или отдельные биографии, и притом всех ли или только участвовавших в Двенадцатом году?","“Excuse me, I don’t really understand… what does this come out with, a history of some time or separate biographies, and, moreover, of all or only those who participated in the Twelfth Year?”","“Excuse me, I don’t quite understand.... How do you mean? Is it the history of some period, or separate biographies, and is it of all Russian generals or only those that took part in the campaign of 1812?”","“Pardon me,” went on his interlocutor, “but I do not quite understand you. Is Tientietnikov producing a history of a given period, or only a history made up of a series of biographies? Also, is he including ALL our Generals, or only those who took part in the campaign of 1812?”","“Excuse me, I don’t quite understand … would that mean a history of some period, or separate biographies, and is it all of them, or only those who took part in the year ’twelve?”",
"— Да, ну разве приказчик! — сказал зять, но и тут усумнился и покачал головою.","- Yes, well, perhaps the clerk! said the brother-in-law, but even here he hesitated and shook his head.",“But how could the steward?” said his brother-in-law; but at that moment he looked dubious and shook his head.,"The brother-in-law seemed doubtful, and shook his head.","“Well, the steward maybe!” said the in-law, but here, too, he was doubtful and shook his head.","“Oh, well, the steward could have bought it,” said his brother-in-law, but even then he had his doubts and shook his head."
— Вы врете! я и в глаза не видал помещика Максимова!,- You're lying! I never even saw the landowner Maksimov!,“That’s a lie! I have never set eyes on a gentleman called Maximov.”,“You lie! To your face I tell you that never in my life have I set eyes upon Landowner Maksimov.”,“You’re lying! I’ve never laid eyes on any landowner Maximov!”,“You’re lying! I never even set eyes on any landowner by the name of Maksimov!”
"— Почтеннейший! — сказал Чичиков, — не только по сорока копеек, по пятисот рублей заплатил бы! с удовольствием заплатил бы, потому что вижу — почтенный, добрый старик терпит по причине собственного добродушия.","- Most respected one! said Chichikov, ""I would pay not only forty kopecks, but five hundred rubles!"" I would gladly pay, because I see that a respectable, kind old man endures because of his own good nature.","“My honoured friend,” said Tchitchikov, “I should be glad to pay you not forty kopecks, but five hundred roubles each! I would pay it with pleasure, for I see a good, worthy old man suffering through his own kindness of heart.”","“Nevertheless, consider my poverty, dear friend, and make it FORTY kopecks per soul.” “Venerable sir, would that I could pay you not merely forty kopecks, but five hundred roubles. I should be only too delighted if that were possible, since I perceive that you, an aged and respected gentleman, are suffering for your own goodness of heart.”","“Most honorable sir!” said Chichikov, “ not only forty kopecks, I would pay you five hundred roubles! With pleasure I would pay it, because I see—an honorable, kindly old man is suffering on account of his own good-heartedness.”","“My most esteemed friend!” said Chichikov. “By right it should be not only forty kopecks a soul; I would, if I could, pay you five hundred rubles apiece! I would pay it with pleasure, inasmuch as I behold before me a venerable, kindly old man who is enduring hardship because of his own kindheartedness—”"
"Манилов был совершенно растроган. Оба приятеля долго жали друг другу руку и долго смотрели молча один другому в глаза, в которых видны были навернувшиеся слезы. Манилов никак не хотел выпустить руки нашего героя и продолжал жать ее так горячо, что тот уже не знал, как ее выручить. Наконец, выдернувши ее потихоньку, он сказал, что не худо бы купчую совершить поскорее и хорошо бы, если бы он сам понаведался в город. Потом взял шляпу и стал откланиваться.","Manilov was completely moved. Both friends shook each other's hands for a long time and looked silently into each other's eyes for a long time, in which tears were visible. Manilov did not want to let go of our hero's hand and continued to press it so fervently that he no longer knew how to rescue it. Finally, pulling it out slowly, he said that it would not be a bad thing to complete the bill of sale as soon as possible and it would be good if he himself visited the city. Then he took his hat and began to take his leave.","Manilov was deeply touched. The two friends spent a long time pressing each other’s hands and gazing in silence into each other’s eyes in which the tears were starting. Manilov would not let go of our hero’s hand, but went on pressing it so warmly that the latter did not know how to release it. At last, stealthily withdrawing it, he said that it would not be amiss to draw up the deed of sale as soon as possible, and that it would be as well for him to pay a visit to the town himself; then he picked up his hat and began taking leave.","Manilov’s heart was moved to the core. Again and again did the two friends press one another’s hands in silence as they gazed into one another’s tear-filled eyes. Indeed, Manilov COULD not let go our hero’s hand, but clasped it with such warmth that the hero in question began to feel himself at a loss how best to wrench it free: until, quietly withdrawing it, he observed that to have the purchase completed as speedily as possible would not be a bad thing; wherefore he himself would at once return to the town to arrange matters. Taking up his hat, therefore, he rose to make his adieus.","Manilov was thoroughly touched. The two friends pressed each other’s hands for a long time and silently gazed for a long time into each other’s eyes, in which welled-up tears could be seen. Manilov simply would not let our hero’s hand go and went on pressing it so warmly that the latter could see no way of rescuing it. Finally, having quietly pulled it free, he said it would not be a bad thing to draw up the deed of purchase speedily, and it would be nice if he himself came to town for a visit. Then he took his hat and began bowing out.","Manilov was utterly touched. The friends kept squeezing each other’s hand for a long spell and for a long spell gazed in silence into each other’s eyes, in which the welling tears could be perceived. Manilov simply did not want to let go of our hero’s hand and went on squeezing it so ardently that the latter by now did not know how to rescue it. Finally, having imperceptibly jerked it away, he said that it might not be a bad thing to put through the purchase deed as soon as possible, and that it might be a good thing if he himself were to see what was going on in town; then he picked up his hat and fell to bowing and scraping in farewell."
"— Ну, семнадцать бутылок ты не выпьешь, — заметил белокурый.","“Well, you won’t drink seventeen bottles,” the blond remarked.","“Come, you can’t drink seventeen bottles,” observed the fair man.","“Come, come! You CAN’T have got through seventeen,” remarked the flaxen-haired man.","“No, you couldn’t drink seventeen bottles,” observed the fair-haired one.","“Well, now, you could never drink seventeen bottles,” remarked the flaxen-fair man."
"— Не поверю, почтеннейший, извините, не поверю. Если б это были тысячи, еще бы так, но миллионы… извините, не поверю.","“I won’t believe it, most venerable, excuse me, I won’t believe it.” If it were thousands, it would still be so, but millions ... sorry, I don’t believe it.","“I can’t believe you, most honoured friend, I really can’t believe you. If it were a case of thousands perhaps, but millions... no, pardon me, but I can’t believe it.”","“Yet so improbable does it seem that I can scarcely believe it. Thousands I could understand, but millions—!”","“I can’t believe it, my esteemed sir, excuse me, but I can’t believe it. If it were thousands, very well, but millions … excuse me, but I can’t believe it.”",
"— Совершенно справедливо изволите выразиться, ваше превосходительство, преполезный человек, обладает даром слова и владеет пером.","- Quite rightly, if you please, Your Excellency, a very useful person, has the gift of words and a pen.","“Most useful,” Tchitchikov assented. “He has the gift of words and a ready pen.”","“In the words which you have been good enough to utter,” said Chichikov with a bow, “there is embodied much justice. Yes, Tientietnikov is in very truth a man of worth. Not only does he possess the gift of eloquence, but also he is a master of the pen.”","“Quite correctly put, Your Excellency, if you please, a most useful man, with a gift for eloquence, and wielding a skillful pen.”",
— Да нет.,- Well no.,"“No, there are not.”",“No.”,“There aren’t.”,
"— Всему есть границы, — сказал Чичиков с чувством достоинства. — Если хочешь пощеголять подобными речами, так ступай в казармы, — и потом присовокупил: — Не хочешь подарить, так продай.","""There are limits to everything,"" Chichikov said with dignity. “If you want to flaunt such speeches, then go to the barracks,” and then he added: “If you don’t want to give it away, then sell it.”","“There is a limit to everything,” said Tchitchikov with an air of dignity. “If you want to display your wit in this way, you had better go to the barracks”; and then he added, “If you don’t care to give them to me, you might sell them.”","“To everything there are limits,” retorted Chichikov stiffly. “If you want to indulge in speeches of that sort you had better return to the barracks.” However, after a pause he added: “If you do not care to give me the serfs, why not SELL them?”","“There are limits to everything,” Chichikov said with dignity. “If you wish to flaunt such talk, go to the barracks,” and then he appended: “If you don’t want to give them, sell them.”","“There are limits to everything,” said Chichikov, with a feeling of dignity. “If you want to show off with speeches like that you’d better go to the barracks,” and immediately added: “If you don’t want to make me a present of them, then you might sell them to me.”"
"— Как на что? да ведь я за него заплатил десять тысяч, а тебе отдаю за четыре.","- How to what? Why, I paid ten thousand for it, and I'll give it to you for four.","“What do you want with one? But you know I gave ten thousand for him, and I will sell him to you for four.”","“What should YOU want with him? Why, I have bought him for ten thousand roubles, and am ready to let you have him for four.”","“You ask what for? But I paid ten thousand for him, and I’m giving him to you for four.”","“What do you mean, what would you do with him? Why, I paid ten thousand for him, yet I’m letting you have him for four.”"
— А как вы нашли нашего губернатора? — сказала Манилова.,How did you find our governor? Manilova said.,“And what did you think of our governor?” said Madame Manilov.,“And what do you think of our Governor?” “Yes; IS he not a most engaging and dignified personage?” added Manilov.,“And what do you think of our governor?” said Mrs. Manilov.,“And how does our Governor strike you?” Mrs. Manilova persisted.
Крики между тем становились явственней. Скороговоркой и звонко выкрикивал барин-арбуз:,"Meanwhile, the screams were getting louder. Patter and loudly shouted the master-watermelon:",The shouts meanwhile were becoming more distinct. The watermelon gentleman was shouting rapidly in a ringing voice:,"Greatly excited, he was shouting at the top of his voice: “Let Kosma manage it, you lout of a Denis!",The shouts meanwhile were getting more distinct. The squire-watermelon was shouting in a ringing patter:,
