Source,GoogleTranslate,human1,human2,human3,human4,human5
«Но ведь я не зажигал свет – как же…»,“But I didn’t turn on the light - how can ...”,“But I did not turn on the light ... then how is it....”,How ...,“But I didn’t turn on the light—how is it that …”,But ... I never turned the light on—how ... ?”,“But I did not turn on the light … then how is it…”
Я так и вцепился в него:,This is how I got into it:,“Quickly! Please!,"I clutched at him. ""","I seized hold of him, too: “Quickly, into your office … I have to tell you everything—right now!",I grabbed hold of him: “Hurry!,“Quickly! Please!
Она отняла у меня R.,She took R from me.,"“She robbed me of R-, she robbed me of O-90, yet, yet ... nevertheless....”",She had robbed me of R.,She took R away from me.,She had taken R from me.,"“She robbed me of R-, she robbed me of O-90, yet, yet … nevertheless …”"
"Я стал стеклянным. Я увидел – в себе, внутри.","I became glass. I saw - in myself, inside.",I became glass-like and saw within myself.,I became glass. I saw—within myself.,"I became glass. I saw into myself, inside.","I became glass. I saw into myself, inside.",I became glass-like and saw within myself.
Я оживился:,I revived:,I felt more lively.,"The back of his head is like a square little valise, attached from behind (I recalled the ancient painting, ""In the Carriage"").","I brightened up: “So, you too are writing for the Integral?",This woke me up.,I felt more lively.
"Все еще о вчерашнем. Личный час перед сном у меня был занят, и я не мог записать вчера. Но во мне все это – как вырезано, и потому-то особенно – должно быть, навсегда – этот нестерпимо-холодный пол…","Still about yesterday. My personal hour before bedtime was busy, and I couldn't write down yesterday. But all this is in me - as if cut out, and therefore especially - probably forever - this unbearably cold floor ...","I shall continue to relate my adventures of yesterday. I was busy during the personal hour before retiring to bed, and thus I was unable to record everything last night. But everything is graven in me; especially, for some reason, and apparently forever, I shall remember that unbearably cold floor....","More about the other day. My personal hour before bedtime was occupied, and I could not record it yesterday. But all of it is etched in me, and most of all—perhaps forever—that intolerably cold floor....","Still more about yesterday’s occurrences. I was busy during the Personal Hour before bedtime so I could not write these records yesterday. It has all been practically carved into me and particularly—forever, I’m quite sure—that unbearably cold floor …",Still about what happened yesterday. During the Personal Hour before bedtime yesterday I was busy and couldn’t make a note here. But all that seems carved into me—and especially (this is probably carved in forever) that unbearably cold floor....,"I shall continue to relate my adventures of yesterday. I was busy during the personal hour before retiring to bed, and thus I was unable to record everything last night. But everything is graven in me; especially, for some reason, and apparently forever, I shall remember that unbearably cold floor.…"
"– Стоп, – крикнул я в машину.",“Stop!” I called to the car.,“Stop!” I commanded.,"""Halt engines! "" I cried into the receiver.",“Stop!” I yelled into the engine room.,“Stop engines!” I shouted into the intercom.,“Stop!” I commanded.
Конспект:,Abstract:,RECORD THIRTY,TOPICS:,KEYWORDS:,The Final Number Galileo’s,RECORD THIRTY
"Какой наглый, издевающийся тон. Я определенно чувствовал: сейчас опять ненавижу ее. Впрочем, почему «сейчас»? Я ненавидел ее все время.","What a brazen, mocking tone. I definitely felt: now I hate her again. But why ""now""? I hated her all the time.","What an impertinent, mocking tone! I felt definitely that in a moment I should hate her. (Why in a moment? In fact I hated her all the time.)","That brazen, mocking tone. I definitely felt: now I hate her again. But why the ""now""? I have hated her all the time.","What an obnoxious, taunting tone. I definitely felt: now I hate her again. But, why “now”? I had hated her the whole time.","Her tone was so impudent, so full of mockery. I definitely felt: Now I hate her again. But why again? I always hated her.","What an impertinent, mocking tone! I felt definitely that in a moment I would hate her. (Why in a moment? In fact, I hated her all the time.)"
"И все же, всякий раз, как я вижу эти обвисшие, похожие на рыбьи жабры щеки, мне почему-то неприятно.","And yet, every time I see those sagging cheeks that look like fish gills, for some reason I feel uncomfortable.","Yet, every time I see those cheeks hanging down, which look like the gills of a fish, I....","And yet, every time I see those sagging, gill-like cheeks, they somehow set my teeth on edge.","And yet, every time I see those hanging, fish-gill cheeks, I find it somehow unpleasant.","Still, every time I see those cheeks hanging down like fish gills, I somehow don’t like it.","Yet, every time I see those cheeks hanging down, which look like the gills of a fish, I …"
"– Я не знаю. Пока еще никто не знает. И это хуже всего. Я только чувствую: включили ток, искра бежит – и не нынче, так завтра… Но, может быть, они не успеют.","- I don't know. So far, no one knows. And that's the worst. I just feel: the current is turned on, the spark is running - and if not today, then tomorrow ... But maybe they will not have time.","“I don’t know. Nobody knows as yet. That is the worst of it. I only feel the current is on, the spark is jumping, and if not today, then tomorrow.... Yet perhaps they will not have time....”","""I don't know. No one knows as yet. And that's the worst of it But I feel—the current is switched on, the spark is running. If not today, then tomorrow. . . . But perhaps they won't have time enough.""","“I don’t know. For the meantime no one knows. And that’s the worst of it. I just feel—they’ve turned on the current, the sparks are running, and if not today, then tomorrow … But perhaps they won’t succeed.”","“I don’t know. Nobody knows yet. Which is worst of all. I just have this feeling that they’ve thrown the switch, the power’s on ... so if not right away, then tomorrow.... But maybe they’ll be too late.”","“I don’t know. Nobody knows as yet. That’s the worst of it. I feel only that the current is on, the spark is jumping, and if not today, then tomorrow.… Yet perhaps they will not have time.…”"
"Шторы падают. Там, за стеной направо, сосед роняет книгу со стола на пол, и в последнюю, мгновенную узкую щель между шторой и полом – я вижу: желтая рука схватила книгу, и во мне: изо всех сил ухватиться бы за эту руку…","The curtains are falling. There, behind the wall to the right, a neighbor drops a book from the table onto the floor, and through the last, instantaneous narrow gap between the curtain and the floor - I see: a yellow hand grabbed the book, and in me: I would grab that hand with all my might ...",The curtains fell. There to my right my neighbor let his book drop at that moment from the table to the floor. And through the last narrow space between the curtain and the floor I saw a yellow hand pick up the book. Within I felt: “Only to seize that hand with all my power.”,"The shades fell. Behind the wall on the right my neighbor dropped bis book on the floor, and in the last, momentary narrow slit between the shade and the floor I saw the yellow hand picking up the book, and my one wish was to grasp at that hand with all my strength....","Blinds fall. There, behind the right wall, my neighbor is letting his book fall to the floor, and in that last, instantaneous narrow chink between the blinds and the floor, I see: a yellow hand grab the book. And inside me, I feel: I would have used all my strength if only to catch hold of that hand …","The blinds fall. There, behind the wall to the right, my neighbor knocks his book off the table onto the floor, and in the last little momentary crack between the blinds and the floor I see his yellow hand grab the book. And everything in me longs to reach out and grasp that hand....",The curtains fell. There to my right my neighbor let his book drop at that moment from the table to the floor. And through the last narrow space between the curtain and the floor I saw a yellow hand pick up the book. Within I felt: “Only to seize that hand with all my power.”
"…Пожар. В ямбах качаются дома, взбрызгивают вверх жидким золотом, рухнули. Корчатся зеленые деревья, каплет сок – уж одни черные кресты склепов. Но явился Прометей (это, конечно, мы) –","…Fire. Houses sway in the iambs, splash upwards with liquid gold, and collapse. The green trees are writhing, the sap is dripping—there are only black crosses of crypts. But Prometheus appeared (this, of course, is us) -","... A blaze.... Buildings were swaying in those iambic lines, and sprinkling upward their liquified golden substance, they broke and fell. The green trees were scorched, their sap slowly ran out and they remained standing like black crosses, like skeletons. Then appeared Prometheus (that meant us).","A blazing fire. In the iambics buildings swayed, went up in jets of liquid gold, collapsed. Fresh green trees withered, shriveled, sap dripping out-nothing remaining but the black crosses of their skeletons. But now Prometheus (meaning us) appeared.","… A blaze. Inside the iambs, buildings are rocking and liquid gold is bursting upward, then tumbling down. Green trees are twisting in convulsions, dripping sap—then only the black crosses of their skeletons remain. Then Prometheus appears (referring to us, of course):","... A conflagration. Houses swayed in the iambics, they burst upward in a liquid golden shower, then crashed. Green trees writhed in it, spewed drops of sap, left nothing but black skeletons like crosses. But Prometheus appeared (that’s us, of course):And in machines, in steel, he harnessed fire,","… A blaze. … Buildings were swaying in those iambic lines, and sprinkling upward their liquefied golden substance, they broke and fell. The green trees were scorched, their sap slowly ran out and they remained standing like black crosses, like skeletons. Then appeared Prometheus (that meant us):"
"Но вот что: если этот мир – только мой, зачем же он в этих записях? Зачем здесь эти нелепые «сны», шкафы, бесконечные коридоры? Я с прискорбием вижу, что вместо стройной и строго математической поэмы в честь Единого Государства – у меня выходит какой-то фантастический авантюрный роман. Ах, если бы и в самом деле это был только роман, а не теперешняя моя, исполненная иксов, и падений, жизнь.","But here's the thing: if this world is only mine, why is it in these records? Why are these ridiculous ""dreams"", closets, endless corridors here? I see with regret that instead of a harmonious and strictly mathematical poem in honor of the United State, I have some kind of fantastic adventure novel coming out. Ah, if only it were really only a novel, and not my present life, full of X's and falls.","If that world is only my own, why should I tell about it in these records? Why should I recount all these absurd “dreams” about closets, endless corridors? With great sorrow I notice that instead of a correct and strictly mathematical poem in honor of the United State, I am writing a fantastic novel. Oh! if only it were a novel and not my actual life, full of X’s, square-roots of minus one and down-fallings!","But then, if this world is mine alone, why does it go into these notes? Why record all these absurd ""dreams,"" closets, endless corridors? I am saddened to see that, instead of a harmonious and strict mathematical poem in honor of the One State, I am producing some sort of a fantastic adventure novel. Ah, if it were really nothing but a novel, and not my present life, filled with X's, V-1 and falls.","But here is the thing: if this world is mine alone, then why is it in these records? Why are these absurd “dreams,” closets, and endless corridors here? It is with regret that I see, instead of an orderly and strict mathematical epic poem in honor of the One State —I see some kind of fantastic adventure novel emerging from me. Ah, if only this was really only some sort of novel, and not this new life of mine: full of X’s, √-1, and descents.","But how about this? If this world is only mine, how come it is in these notes? How come these stupid “dreams,” wardrobes, endless corridors are here? I am crushed to see that instead of the elegant and strict mathematical poem in honor of OneState, it’s turning out to be some kind of fantastic adventure novel. Oh, if only this really were just a novel instead of my actual life, filled with X’s, √—1, and degradations.","If that world is only my own, why should I tell about it in these records? Why should I recount all these absurd “dreams” about closets, endless corridors? With great sorrow I notice that instead of a correct and strictly mathematical poem in honor of the United State I am writing a fantastic novel. Oh! if only it were a novel and not my actual life, full of X’s, square roots of minus one, and downfalls!"
Конспект:,Abstract:,RECORD SIXTEEN,TOPICS:,KEYWORDS:,Yellow Two-Dimensional Shadow Incurable Soul,RECORD SIXTEEN
"– Ясно… – начал я, тотчас же поймал себя на этом слове и украдкой заглянул на I: заметила или нет?","“I see…” I began, immediately catching myself on this word and stealthily glanced at I: did you notice or not?","“It’s clear ...” I began, but I stopped at that word and cast a furtive look at I-330. Did she notice it or not?","""It's clear ..."" I began, but immediately caught myself at the word and cast a stealthy glance at I-330: had she noticed it or not?",“It’s clear …” I began. I caught myself immediately on that word and secretly glanced over at I-330: had she noticed?,"“It’s clear,” I began, then caught myself at the word and stole a glance at 1-330 to see whether she’d noticed.","“It’s clear …” I began, but I stopped at that word and cast a furtive look at I-330. Did she notice it or not?"
"Она покачала головой. Сквозь темные окна глаз – там, внутри у ней, я видел, пылает печь, искры, языки огня вверх, навалены горы сухих, смоляных дров. И мне ясно: поздно уже, мои слова уже ничего не могут…","She shook her head. Through the dark windows of her eyes - there, inside her, I saw a burning stove, sparks, tongues of fire upwards, piled mountains of dry, resinous firewood. And it’s clear to me: it’s already late, my words can’t do anything anymore ...","She shook her head. Through the dark windows of her eyes I saw within her a flaming oven, sparks, tongues of flame and above them a heap of dry, tarry wood. It was clear to me that it was too late, my words could be of no avail.","She shook her head. Through the dark windows of her eyes, deep within her, I saw a flaming oven, sparks, tongues of fire leaping up, a heaping pile of dry wood. And it was clear to me: it was too late, my words would no longer avail....","She shook her head. Through the dark windows of her eyes, there, inside her, I saw that the wood-fire was blazing, the sparks and tongues of the fire ascended and there were piled heaps of dry, pitch-black wood. And it was clear to me: it was too late, my words were already redundant …","She shook her head. Through the dark windows of her eyes, there, on the inside, I see the stove burning, sparks, tongues of flames leaping up, piles of dry resinous wood. And I see that it’s already too late. My words can no longer do any ...","She shook her head. Through the dark windows of her eyes I saw within her a flaming oven, sparks, tongues of flame, and above them a heap of dry wood. It was clear to me that it was too late, my words could be of no avail."
Мир существует. Сыпь. 41°,The world exists. Rash. 41°,The World Does Exist Rash Forty-one Degrees Centigrade,The World Exists A Rash 41° Centigrade,The World Exists. A Rash. 105 Degrees.,The World Exists A Rash 41° Centigrade,The World Does Exist Rash Forty-one Degrees Centigrade
"Туго натянутая мембрана дрожит и записывает тишину. Нет: резкие, с бесконечными паузами – удары молота о прутья. И я слышу – я вижу: она, сзади, думает секунду.","The tightly stretched membrane trembles and records the silence. No: sharp, with endless pauses - hammer blows on the bars. And I hear - I see: she, behind, thinks for a second.","The tensely stretched membrane trembled and registered the silence,—no, the sharp hammer-like blows of the heart against the iron bars and endless pauses between beats. And I heard, saw, how she, behind me hesitated for a second, thinking.","The tautly stretched membrane quivered and recorded silence. No: sharp blows of a hammer against the iron rods, with endless pauses. And I heard—I saw her behind me, thinking for a second.","The tautly stretched membrane vibrated and recorded the quiet. No: it recorded the abrupt beating of a hammer on twigs in between endless pauses. And I heard (I saw): her, behind me, thinking for a minute.","The tightly stretched membrane trembles and records the silence. No, make that the sharp striking of a hammer on rods, with interminable pauses. And I hear, I see, that behind me she’s thinking for a second.","The tensely stretched membrane trembled and registered the silence— no, the sharp, hammerlike blows of the heart against the iron bars, and endless pauses between beats. And I heard, saw, how she, behind me, hesitated for a second, thinking."
Нет!,Not!,“NO!,No!,NO!,NO!,NO!
– …А я – ни за что! Ни за что – лучше голову в Машину…,- ... And I - for nothing! No way - better head in the car ...,Never! I’d rather put my head straight into the Machine....”,"""... I'll never ... Better put my head straight into the Machine. ...""",“… But I—never—no way! No way—I’d rather put my head in the Machine …”,Never! Not for anything—stick my head in the Machine first!”,Never! I’d rather put my head straight into the Machine.…”
"Это правда: я, настоящий я не хотел. И все же: какими словами сказать ей. Как объяснить ей, что железо не хотело, но закон – неизбежен, точен –","It's true: I, the real me, didn't want to. And yet: what words to say to her. How to explain to her that the iron did not want to, but the law is inevitable, precise -","It was the truth. I, my real self did not mean. — ... Yet how could I express it in words? How could I explain to her that the piece of iron did not want to.... But that the law is precise, inevitable!","This was true. I, the real I, had not wanted to. And yet how could I tell her this? How explain that the iron may not want to, but the law is ineluctable, exact...","It was true: I (the real me) hadn’t wanted to! But still: how could I put that into words for her? How could I explain to her that the iron hadn’t wanted to, but its laws were inescapable and precise—","It was true. I, the real me, did not want ... But still, what words could I use to tell her? How explain to her that the piece of iron did not want ... but the law was implacable, precise ...","It was the truth. I, my real self, did not mean. … Yet how could I express it in words? How could I explain to her that the piece of iron did not want to? … But that the law is precise, inevitable!"
"Но я готов, так же как каждый, или почти каждый, из нас. Я готов.","But I'm ready, just like every, or almost every, of us. I'm ready.","Yet I am ready, as everyone, or nearly everyone of us, is. I am ready.","But I am ready, like every one, or almost every one, of us. I am ready.","But I am ready and willing, just as every one—or almost every one of us. I am ready.","But I am ready. Like all of us, or nearly all of us. I am ready.","Yet I am ready, as everyone, or nearly everyone of us, is. I am ready."
"– Послезавтра… нет: через два дня – у О розовый талон к вам. Так как вы? По-прежнему? Хотите, чтобы она…",- The day after tomorrow ... no: in two days - O has a pink coupon for you. So how are you? Still? Do you want her to...,"He searched for something in his pockets, took out a little book, turned over a few leaves and said, “For the day-after-tomorrow,—oh, no, two days from now,—O-90 has a pink check on you. How about it?... As before? ... You want her to?”","The day after tomorrow ... no, in two days, O has a pink coupon to visit you. How do you feel about it? As before? Do you want her to ...""","“The day after tomorrow … No, after two days. O has a pink ticket for you. How is that for you? Same as before? Do you want her to …”","“Day after tomorrow ... no, in two days, O has a pink ticket to come to your place. How’s that with you? Same as before? Do you want her to ... ?”","By the way, about Eve …” He searched for something in his pockets, took out a little book, turned over a few leaves, and said, “For the day after tomorrow—oh, no, two days from now—O-90 has a pink check on you. How about it? … As before? … You want her to?”"
"В 16.10 вышел – и тотчас же на углу увидал О, всю в розовом восторге от этой встречи. «Вот у нее простой круглый ум. Это кстати: она поймет и поддержит меня…» Впрочем, нет, в поддержке я не нуждался: я решил твердо.","At 16.10 I went out - and immediately saw O on the corner, all in pink delight from this meeting. “Here she has a simple round mind. This is by the way: she will understand and support me ... ”But no, I did not need support: I decided firmly.","At sixteen-ten I was in the street; at once I noticed O-90 at the corner; she was all rosy with delight at the encounter. She has a simple, round mind. A timely meeting; she would understand and lend me support. Or, ... no, I did not need any support; my decision was firm.","At sixteen-ten I came out, and immediately saw O on the corner—all pink with pleasure at the meeting. "" She, now, has a simple, round brain. How fortunate: she will understand and support me... But no, I needed no support, I had made a firm decision...","I left at 16:10 and at that exact moment I saw O on the corner— in total pink rapture over our encounter. Now, she has a simple, round intellect, I thought. How opportune: she will see what’s going on and give me the support I need to … But then, no: I am not in need of support. I was firmly decided.","At 16:10 1 went out, and the first thing I saw was O standing on the corner, all pink with pleasure over running into me. “Now, she’s got a simple round mind,” I thought. “Just what I needed. She’ll understand me and support me. But, wait ... no, I don’t need any support. I’ve got my mind made up. ”","At sixteen-ten I was in the street; at once I noticed O-90 at the corner; she was all rosy with delight at the encounter. She has a simple, round mind. A timely meeting; she would understand and lend me support. Or, no, I did not need any support; my decision was firm."
"В нелепых, спутанных, затопленных словах я пытаюсь рассказать ей, что я – кристалл, и потому во мне – дверь, и потому я чувствую, как счастливо кресло. Но выходит такая бессмыслица, что я останавливаюсь, мне просто стыдно: я – и вдруг…","In ridiculous, confused, flooded words, I try to tell her that I am a crystal, and therefore there is a door in me, and therefore I feel how happy the chair is. But such nonsense comes out that I stop, I'm just ashamed: I - and suddenly ...","In absurd, confused, overflowing words I attempted to tell her that I was a crystal and that there was a door in me, and that I felt how happy the armchair was. But something nonsensical came out of the attempt and I stopped. I was ashamed. And suddenly:","In absurd, confused, flooded words I try to tell her that I am a crystal, and therefore there is a door in me, and therefore I feel the happiness of the chair she sits in. But the words are so nonsensical that I stop, ashamed: I—and suddenly such ...","With a ridiculous, muddled flood of words, I attempt to tell her that I am a crystal and that there is a door inside me and that I feel like a happy chair. But such nonsense comes out that I stop. I am just embarrassed and suddenly …","I try to tell her—in stupid, confused, drowned words—that I am a crystal, and that that is why the door is in me, and why I can feel how happy the chair is. But such balled-up nonsense comes out that I stop, I’m ashamed,","In absurd, confused, overflowing words I attempted to tell her that I was a crystal and that there was a door in me, and that I felt how happy the armchair was. But something nonsensical came out of the attempt and I stopped. I was ashamed. And suddenly:"
"От нее – синие искры и пахнет молнией, и дрожь во мне – еще чаще.","From her - blue sparks and smells of lightning, and trembling in me - even more often.","Blue sparks emanated from her and the odor of lightning, and the vibration became more and more frequent within me.","She emanates blue sparks and smells of lightning, and my trembling grows more violent.",Blue sparks and the smell of lightning come from her and the tremble in me is getting faster.,"Blue sparks from her, and the scent of lightning, and my trembling gets faster and faster.","Blue sparks emanated from her, and the odor of lightning, and the vibration within me became more and more frequent."
"– Ну, что же? Что же будет?","- Well, what? What will happen?","“Well, what is going to happen?”","Well? What next?""","I found and squeezed her hand tightly: “Well, what now? What happens now?”",“Well? What do we do now?”,"“Well, what is going to happen?”"
– А помните… я вам тогда на седьмой странице… Я вам тогда капнула – и вы…,- And remember ... I was then on the seventh page ... I then dripped you - and you ...,"In a voice, in a shadow of a voice, “And do you remember ... how the other day I ... on the seventh page ... and it dropped....”","A voice, a shadow of a voice: ""Do you remember ... on page seven ... I let a drop fall, and you ...""",A voice—a shadow of a voice: “But remember … when you were on page seven and I … I let a teardrop fall on it—and you …”,: “You remember how ... on page 7 ... I let a tear fall ... and you ...”,how the other day I … on the seventh page … and it dropped.…”
– Да ну же! Что случилось? – схватила его за руку I.,- Come on! What happened? I grabbed his hand.,“But tell me! What has happened?” I-330 grasped him by the hand.,"""What is it! What happened?"" She seized him by the hand.",he couldn’t get out a word: he must have run with all his might. “Well? What happened?” I-330 grabbed him by the arm.,"“Well, come on! What’s happened?” 1-330 grabbed him by the arm.",“But tell me! What has happened?” I-330 grasped him by the hand.
– Сто? Да зачем же такую уйму? Ведь это – на неделю. Куда – на неделю: больше!,"- Hundred? But why such a lot? After all, this is for a week. Where - for a week: more!","“A thousand! What do you need such a lot for? That would last a week! No, more than a week!”","""A hundred? Why so much? That would be for a week. A week? Much longer!"" ""Anything might happen. . . .","“A hundred? Why such a large mass? That’s, what, enough for a week? Why—much more than a week!”",“A hundred? But why such a lot? That’s enough for a week. What am I saying? For much longer than a week!”,"“A thousand! What do you need such a lot for? That would last a week! No, more than a week!”"
"– А при том, что я бы на вашем месте – пошел и попросил сделать себе эту операцию.",- And despite the fact that I would be in your place - I went and asked to do this operation for myself.,"“Merely this: if I were you, I should go and ask to have this operation performed upon me.”","""Just this: in your place, I would go and ask to be operated on.""","“Well, let’s just say that if I was in your shoes, I would go and ask for this operation to be performed on me.”","“Because, if I were you, I’d go see about having that done.”","“Merely this: if I were you, I should go and ask to have this operation performed upon me.”"
"Очнулся – яркий свет, глядеть больно. Зажмурил глаза. В голове – какой-то едучий синий дымок, все в тумане. И сквозь туман:","I woke up - a bright light, it hurts to look. He closed his eyes. In my head - some kind of caustic blue smoke, everything is in a fog. And through the mist",I awoke. A bright glare painful to look at. I half closed my eyes. My head seemed filled with some caustic blue smoke. Everything was enveloped in fog and through the fog:,"When I awakened, the brightness hurt my eyes. I closed them tightly. In my head—a strange, caustic, blue haze. Everything as in a fog. And through the fog: But I didn't turn on the light!","I regained consciousness in bright light—opening my eyes was painful. I squinted. In my head: an acrid, blue puff of smoke, everything was in a cloud. And through the cloud I heard myself:","I woke up—the light was so bright it hurt my eyes. I squinted. There was a sort of corrosive blue smoke in my head, everything was in a fog. And through the fog I hear myself saying, “","I awoke. A bright glare painful to look at. I half-closed my eyes. My head seemed filled with some caustic blue smoke. Everything was enveloped in fog, and through the fog:"
"Резкие, быстрые – острым топором – хореи. О неслыханном преступлении: о кощунственных стихах, где Благодетель именовался… нет, у меня не поднимается рука повторить.","Sharp, fast - with a sharp ax - chorea. About an unheard-of crime: about blasphemous verses, where the Benefactor was called ... no, my hand does not rise to repeat.","Swift sharp verses like an axe.... They told about an unheard-of crime, about sacrilegious poems in which the Well-Doer was called.... But no, I do not dare to repeat....","Sharp, quick trochees—like blows of an ax. About a heinous crime, about sacrilegious verses which dared to call the Benefactor... no, my hand refuses to repeat it.","Sharp, rapid trochees—as though delivered with a sharp ax. About an unheard-of crime: about blasphemous poems, in which the Benefactor was called … no, I won’t even raise my pen to repeat it.","Trochees... cutting, rapid... sharp as an ax. About an unheard-of crime, about a blasphemous poem, one in which the Benefactor is called... but no, I can’t make my hand write it.","Swift, sharp verses like an ax. … They told about an unheard-of crime, about sacrilegious poems in which the Well-Doer was called. … But no, I do not dare to repeat.…"
"Я молча смотрел на губы. Все женщины – губы, одни губы. Чьи-то розовые, упруго-круглые: кольцо, нежная ограда от всего мира. И эти: секунду назад их не было, и только вот сейчас – ножом, – и еще каплет сладкая кровь.","I silently looked at the lips. All women are lips, only lips. Someone's pink, elastically round: a ring, a gentle fence from the whole world. And these: a second ago they were not there, and only now - with a knife - and sweet blood is still dripping.","I glanced at her lips in silence. All women are lips, lips only. Some are rosy lips, tense and round, a ring, a tender fence separating one from the world. But these! A second ago they were not here, and suddenly ... the slash of a knife! I seemed to see even the dripping sweet blood....","I silently stared at her lips. All women are lips, nothing but lips. Some pink, firmly round—a ring, a tender protection against the whole world. But these: a second ago they did not exist, and now—a knife slit—and the sweet blood will drip down.","I looked silently at her lips. All women are lips, all lips. Some are pink and firmly round: a ring, a tender guardrail from the whole world. And then there are these ones: a second ago they weren’t here, and just now—like a knife-slit—they are here, still dripping sweet blood.","I looked silently at her lips. All women are lips, nothing but lips. Some are pink, supple, round—a ring, a tender shield against the whole world. And then these: A second ago they didn’t exist, and now suddenly, made by a knife, the sweet blood still dripping ...","I glanced at her lips in silence. All women are lips, lips only. Some are rosy lips, tense and round, a ring, a tender fence separating one from the world. But these! A second ago they were not here, and suddenly … the slash of a knife! I seemed even to see the sweet, dripping blood.…"
"Все это слишком ясно, все это в одну секунду, в один оборот логической машины, а потом тотчас же зубцы зацепили минус – и вот наверху уж другое: еще покачивается кольцо в шкафу. Дверь, очевидно, только захлопнули – а ее, I, нет: исчезла. Этого машина никак не могла провернуть. Сон? Но я еще и сейчас чувствую: непонятная сладкая боль в правом плече – прижавшись к правому плечу, I – рядом со мной в тумане. «Ты любишь туман?» Да, и туман… все люблю, и все – упругое, новое, удивительное, все – хорошо…","All this is too clear, all this in one second, in one revolution of the logical machine, and then immediately the teeth hooked on the minus - and here is another thing at the top: the ring in the cabinet is still swaying. The door, obviously, was just slammed shut - but she, I, didn't: she disappeared. This machine could not crank. Dream? But I still feel: an incomprehensible sweet pain in my right shoulder - pressed against my right shoulder, I - next to me in the fog. ""Do you like fog?"" Yes, and fog... I love everything, and everything is resilient, new, amazing, everything is good...","All this becomes perfectly clear in one second, in one turn of our logical wheel, the teeth of which engage that minus, turn it upward and thus change its aspect. That other matter is somewhat different; the ring in the door was still oscillating, apparently the door had just closed, yet she, I-330, had disappeared; she was not there! The logical wheel could not turn this fact. A dream? But even now I feel still in my right shoulder that incomprehensible sweet pain of I-330 near me in the fog, pressing herself against me. “Thou lovest fog?” Yes, I love the fog too. I love everything and everything appears to me wonderful, new, tense; everything is so good!...","All this is entirely clear—within a single second, at a single turn of the logical machine. Then suddenly the gears catch on the minus, and something altogether different comes to ascendancy—the key ring, still swaying in the door. The door had evidently just been shut, yet I-330 was already gone, vanished. That was something the machine could not digest in any way. A dream? But even now I felt that strange sweet pain in my right shoulder— I-330 pressing herself against the shoulder, next to me in the fog. ""Do you like fog? "" Yes, I love the fog. ... I love everything, and everything is firm, new, astonishing, everything is good....","All this is totally clear within a single second, within a single rotation of the logical machine. But just when the cogs have hooked that minus sign, something else pops up: the key ring is still swinging in the keyhole of the closet. The door, it was clear to see, had only just banged shut, but she, I-330, was gone: disappeared. The machine couldn’t crank this over. Was it a dream? But even now, I still feel it: an inexplicable, sweet hurting in my right shoulder— I-330 pressed up against my right shoulder, next to me in the fog. “Do you like fog?” Yes, the fog and … I love everything, and everything is firm, new, astounding , everything is good … “","All this is too obvious, all this you can see in one second, one spin of the logical machine. And then all of a sudden the gear teeth snag on that minus sign—and something totally different swims up to the surface: that key ring still swinging on the wardrobe door. The door had obviously just slammed, but she, I-330, was not there. She’d vanished. There was no way the machine could handle that. A dream? But I can still feel it, that incomprehensibly sweet pain in my right shoulder, I-330 pressing against my right shoulder, beside me in the fog. “You love the fog?” Yes, the fog, too. I love everything. And everything is supple, new, surprising, everything is ... okay.","All this becomes perfectly clear in one second, in one turn of our wheel of logic, the teeth of which engage that minus, turn it upward, and thus change its aspect. One other matter is somewhat different: the ring in the door was still oscillating, apparently the door had just closed, yet she, I-330, had disappeared, she was not there! The wheel of logic could not turn this fact. A dream? But even now I still feel in my right shoulder that incomprehensibly sweet pain of I-330 near me in the fog, pressing herself against me. “Thou lovest fog?” Yes, I love the fog, too. I love everything, and everything appears to me wonderful, new, tense; everything is so good! …"
"И все острее, все темнее треугольник:","And sharper, darker triangle:","The triangle grew sharper and sharper, darker and darker.","The triangle of her eyebrows grew sharper, darker. ""","And a triangle, sharper and sharper, darker and darker: “… And as for happiness … Really?","And, as the triangle got sharper and darker: “And happiness","The triangle grew sharper and sharper, darker and darker."
"Вдруг вижу: у R – матовеют глаза, сереют губы.","Suddenly I see: R has dull eyes, gray lips.","I saw R-’s eyes becoming more and more opaque, his lips acquiring a gray tint.","But suddenly I noticed R's eyes turn lusterless, his lips turn gray.","All of a sudden, I see: R’s eyes are frosting, his lips are graying.",Suddenly I notice R’s eyes have gone dull and his lips gray.,"Suddenly I saw R-’s eyes becoming more and more opaque, his lips acquiring a gray tint."
"А потом согнутая человеческая щепочка в дверях, крошечная тень за стеной – не оглядываясь, быстро – все быстрее…","And then a bent human sliver in the doorway, a tiny shadow behind the wall - without looking back, quickly - faster and faster ...","Then the bent-over human splinter went to the door; a bent-over little shadow beyond the wall; without turning around she went on faster, still faster.... I went to U-’s desk.","And then, a bent tiny human splinter in the doorway, a tiny shadow behind the wall—without looking back, quickly, ever more quickly ...","And then this stooping human sliver was at the doorway, then it was a tiny shadow behind the wall, not looking back, going quickly and then quicker still …","Then there was a human sliver hunched over in the entrance, a tiny shadow on the other side of the wall, never glancing back, moving more and more quickly.... I went up to U’s desk.","Then the bent-over human splinter went to the door; a bent-over little shadow beyond the wall; without turning around she went on faster, still faster.…"
