langs,system,n2m,source,target,n2mS,n2mT
en-ja,llama,2-1,"'They normally love coming over here.' And now their torches revealed the edge of a bank, right before the crest of a shallow stream that cut through the farmer's reclaimed marshland.",normally ここに来るのが大好きです そして彼らのトーチは、農夫が埋め立てた湿地の境界の端を示していた、浅い川の波頭のすぐ前にあった。,2,1
en-ja,human,1-2,"Further still, a thin metal fence marked the edge of the land, clots of wool decorating the wire like fairy lights where the sheep had once tried to break through.",さらに進むと、細い金網のフェンスが敷地の端を示していた。 羊が突破しようとした部分には、毛の塊が豆電球の飾りのようについている。,1,2
en-ja,human,2-1,'I'm a vegetarian.' 'Really?,おれはベジタリアンだ そうなのか?,2,1
en-ja,human,2-1,"My wife tried doing that a few years back, and—' 'No,' the farmer said, and the conversation died.",おれの妻は何年かまえに真似して作ろうとしたんだが一 ない男が言い、会話は途絶えた。,2,1
en-ja,human,1-2,"The world was still dark, even if only for a little while.",あたりはまだ暗かった。 それもあと少しのことだが。,1,2
en-ja,human,2-1,"'They're selling up to live with family, so she says.' 'I think I saw them in town a few times,' Alec said.",あそこを売って家族と暮らすつもりだと、ジーンは言ってる その家族は、町で何度か見かけた気がするアレックは言った。,2,1
en-ja,human,1-3,'Did you know?' 'Who?' 'Jean ...,知ってたか? 誰だ? ジーン。。。,1,3
en-ja,human,2-1,"'She's moving out, selling up her farm.' 'Oh yes, Jean ...'",引っ越して、農場を売り払うらしい ああ、そうか、ジーン。。。,2,1
en-ja,human,1-2,"One more reminder that he did not belong, he supposed.",おまえはこの土地の人間ではないまたそう釘を刺されたのだろう。 アレックは思った。,1,2
en-ja,human,1-2,"He gestured past a large, half-empty water tank around two hundred feet away, its translucent plastic grown stained with time, the smear of a smile where fluid had lapped within.",やがて五十メートルほど先にある、半分だけ水のはいった大型水槽の向こうを身振りで示した。 その半透明のプラスチックのタンクは年を経て汚れがっき、水がたまったところには笑顔のマークのような染みがついていた。,1,2
en-ja,human,3-1,'We found them near there.' His face fell. Alec checked his watch.,あのへんで見つけた男は顔を伏せたアレックは腕時計を確認した。,3,1
en-ja,human,1-2,"They kept on, the silence drowned out by the buzzing of the flies and the distant hellos of scraggly sheep out there in the semi-darkness.",ふたりは歩きつづけた。 あたりの静けさは、アプの羽音と、薄闇の向こうにいる毛むくじゃらの羊たちの鳴き声にかき消されていた。,1,2
en-ja,human,1-2,"He came down with a thud, right into the thick and gelatinous mud.",大きな音を立てて着地した。 ねっとりとしたゼラチンのような泥のなかに。,1,2
en-ja,human,1-2,"Alec stared at the mud, and the farmer grinned, his cheeks ruddy beneath his dirty white beard.",アレックはぬかるみを見つめた。 男は汚れた白ひげに覆われた頬を赤くして、にやりと笑った。,1,2
en-ja,human,2-1,'No.' Yes.,しないさするとも。,2,1
en-ja,human,1-2,"Alec swatted one away from his rolled-up sleeve, a great bulbous thing that had nestled on the hairs of his forearm.",アレックは、袖をまくりあげていた腕から一匹叩きおとした。 前腕の毛に埋まっている巨大な球根のような一匹を。,1,2
ru-pl,gpt3,2-1,"Все последующее было предсказуемо: возгласы и стоны, нервные шутки и похвалы мне, стоящему в белом у жаровни: Маэстро, вы превзошли себя!","Wszystko, co nastąpiło później, było przewidywalne: okrzyki i stęki, nerwowe żarty i pochwały dla mnie, stojącego w białym u ołtarza: Maestro, przeszliście sami siebie!",2,1
ru-pl,nmt,2-1,"Все последующее было предсказуемо: возгласы и стоны, нервные шутки и похвалы мне, стоящему в белом у жаровни: Маэстро, вы превзошли себя!","Wszystko, co nastąpiło później, było do przewidzenia: okrzyki i jęki, nerwowe żarty i pochwały dla mnie stojącego w bieli przy koksowniku: Mistrzu, przeszedłeś sam siebie!",2,1
ru-pl,human,2-1,"Все последующее было предсказуемо: возгласы и стоны, нервные шутки и похвалы мне, стоящему в белом у жаровни: Маэстро, вы превзошли себя!","Później wszystko było przewidywalne: okrzyki i jęki, nerwowe dowcipy i pochwały dla mnie, całego na biało, stojącego przy ruszcie: Maestro, przeszedł pan samego siebie!",2,1
en-pl,gpt3,1-2,Whose mother was it? Unclear.,Czyja to była matka? Niejasne.,1,2
en-pl,nmt,1-2,Whose mother was it? Unclear.,Czyja to była matka? Niejasny.,1,2
en-pl,gpt4,1-2,Whose mother was it? Unclear.,Czyja to była matka? Niejasne.,1,2
en-pl,llama,1-2,Whose mother was it? Unclear.,Ktoś z matką? Niejasne....,1,2
en-pl,llama,2-1,"Drained. Those parents were in a hurry, then.","Wyczerpany Te rodzice byli w pośpiechu, wtedy.",2,1
en-pl,human,2-1,"Our parents, those so-called figures of authority, roamed its rooms in vague circuits beneath the broad beams, their objectives murky. And of no general interest.","Nasi rodzice, tak zwane autorytety, snuli się po zwieńczonych szerokimi belkami pokojach, dryfowali na wodach celów mętnych i ogólnie nieciekawych.",2,1
en-pl,human,1-2,Whose mother was it? Unclear.,Czyją matką była? Nie wiadomo.,1,2
en-pl,human,1-2,"Some of their goblets, highball glasses, and beer bottles were completely empty.","Zostawili po sobie kieliszki, wysokie szklanki i butelki po piwie. Niektóre były zupełnie puste.",1,2
ru-en,gpt3,1-2,Вместе с ними заглядывал в комнату цветок настурции; в нем сидела мохнатая пчела.,"Along with them, a nasturtium flower peeked into the room. A furry bee was sitting in it.",1,2
ru-en,gpt4,1-2,"Так, в ноздреватом желтом камне было много накрепко впаянных в него маленьких морских ракушек, на кустах дрока оставалось еще несколько цветов, они сидели на прямых твердых стеблях, как промокшие и сморщенные золотые бабочки, и терпеливо дожидались солнца.","Yes, in the porous yellow stone, there were many small sea shells firmly embedded in it. On the rockrose bushes, there were still a few flowers left; they sat on straight firm stems like soaked and shriveled golden butterflies, patiently waiting for the sun.",1,2
ru-en,gpt4,1-2,"Нашел Остап на кладбище ее могилу из белого мрамора-камня, глянул, и сердце у него сорвалось на камне лежала его железная роза.","Ostap found her gravestone of white marble in the cemetery, he looked at it and his heart broke. His iron rose lay on the stone.",1,2
ru-en,human,1-2,"И ветер то начинал шуметь в голых деревьях, то замолкал, так же как и я прислушиваясь к течению ночи.","So did the wind in the bare branches. It rose and fell, becoming as quiet as me, listening throughout the night.",1,2
ru-en,human,1-2,"Нашел Остап на кладбище ее могилу из белого мрамора-камня, глянул, и сердце у него сорвалось на камне лежала его железная роза.",Ostap found her tombstone of white marble in a graveyard there. He looked and then his heart broke on the marble lay his iron rose.,1,2
ru-en,human,2-1,"Навеки. А Остап начал лирничать и, мабудь, так и помер на шляху или на базаре под возом.",Ostap took up the lyre and most likely died out on the high road or perhaps under his cart in some market town.,2,1
ru-en,human,2-1,В санатории за высокой оградой и железными воротами мы всегда чувствовали себя в полной безопасности. Особенно если не зажигали коптилок.,"We always felt safe once we were back at the sanatorium, behind its high wall and iron gates, especially if we made sure not to light the oil lamps.",2,1
pl-en,gpt3,1-2,Ale zaraz przychodzi mu do głowy myśl inna: Cóż to za argument?,But then another thought came to his mind: What kind of argument is that?,1,2
pl-en,nmt,1-2,"Cicho! mówi nagle ksiądz i podnosi palec do góry, nadsłuchując.","Quiet! the priest says suddenly and raises his finger, listening.",1,2
pl-en,nmt,1-2,Ale zaraz przychodzi mu do głowy myśl inna: Cóż to za argument?,But then another thought comes to his mind: What argument is this?,1,2
pl-en,gpt4,1-2,"Deymowa mija ją i nagle podbiega do niej chłopczyk, może sześcio-, siedmioletni, i patrząc na nią uśmiechniętymi oczami, bardzo z siebie zadowolony, mówi: ""Niech będzie pochwalony Jezus Chrystus!"".","Deymowa passes her and suddenly a little boy, maybe six or seven years old, approaches her. Looking at her with smiling eyes, very pleased with himself, he says: ""Praised be Jesus Christ!""",1,2
pl-en,gpt4,1-2,"Cicho! mówi nagle ksiądz i podnosi palec do góry, nadsłuchując.","Quiet! Suddenly the priest says and raises his finger up, listening carefully.",1,2
pl-en,gpt4,1-2,Ale zaraz przychodzi mu do głowy myśl inna: Cóż to za argument?,But then another thought comes to his mind: What kind of argument is this?,1,2
pl-en,gpt4,1-3,"Mija ich rozpędzona fura przykryta dziurawą plandeką, pełna hałaśliwych Żydów, którzy ściągają na jarmark do Rohatyna z całej okolicy, a za nimi przedziera się bogata kareta, której we mgle i tłoku na drodze trudno zachować dostojeństwo jasne lakierowane drzwiczki są czarne od błota, a mina stangreta w niebieskiej pelerynie wydaje się nietęga, nie spodziewał się widać takiego zamieszania i teraz rozpaczliwie szuka wzrokiem okazji, żeby zjechać z tej diabelskiej drogi.","Their speeding wagon, covered with a hole-ridden tarp, is full of noisy Jews who are coming from all over to the fair in Rohatyn. Behind them struggles a wealthy carriage, which finds it hard to maintain its dignity in the fog and crowd on the road its shiny lacquered doors are black with mud. The face of the coachman in his blue cloak seems sluggish apparently he did not expect such chaos and is now desperately looking for an opportunity to get off this devilish road.",1,3
pl-en,llama,0-1,,"Or, more idiomatically:The fog alters the sense of distance, and Kasia appears taken aback by it.",0,1
pl-en,llama,1-2,Ale zaraz przychodzi mu do głowy myśl inna: Cóż to za argument?,"And suddenly, another thought comes to his mind: What kind of argument is this?",1,2
pl-en,llama,1-3,"Mija ich rozpędzona fura przykryta dziurawą plandeką, pełna hałaśliwych Żydów, którzy ściągają na jarmark do Rohatyna z całej okolicy, a za nimi przedziera się bogata kareta, której we mgle i tłoku na drodze trudno zachować dostojeństwo jasne lakierowane drzwiczki są czarne od błota, a mina stangreta w niebieskiej pelerynie wydaje się nietęga, nie spodziewał się widać takiego zamieszania i teraz rozpaczliwie szuka wzrokiem okazji, żeby zjechać z tej diabelskiej drogi.","Their hasty departure was accompanied by a noisy crowd of Jews, who were rushing to the fair in Rohatyn from all over the surrounding area, while a luxurious carriage, its dignity obscured by the fog and the throng on the road, struggled to maintain its composure. The black doors were covered in mud, and the woman in the blue pelerine seemed to be in a state of distress, not expecting such chaos. She desperately searched for a way to escape from this devilish road.",1,3
pl-en,human,1-2,"Może Kaśkę wystraszyły iskry, które sypią się z paleniska, albo niepokój koni czekających na swoją kolej do podkuwania...","In front of them is a blacksmith's; maybe Kaśka got spooked by the sparks spewing from that furnace, or else by the anxiety of the horses waiting their turn to be shod ...",1,2
pl-en,human,2-1,"Wszędzie czuć mdły zapach słodu, przenika każdy towar wystawiony do sprzedaży. Można się nim najeść jak chlebem.",In every place there is the cloying smell of malt that gets into all that is up for sale and gluts a person just as bread can.,2,1
pl-en,human,1-2,"Wysiada z kolaski i podąża za sługą, obchodzą bezradnie powóz, wytężając oczy w biel.","He gets out of the britchka to join his servant. Helplessly they circle the carriage, straining their eyes into the pale gray.",1,2
pl-en,human,1-2,Ale zaraz przychodzi mu do głowy myśl inna: Cóż to za argument?,But right away another thought occurs to him: What kind of reasoning is this?,1,2
pl-en,human,1-2,"Mija ich rozpędzona fura przykryta dziurawą plandeką, pełna hałaśliwych Żydów, którzy ściągają na jarmark do Rohatyna z całej okolicy, a za nimi przedziera się bogata kareta, której we mgle i tłoku na drodze trudno zachować dostojeństwo jasne lakierowane drzwiczki są czarne od błota, a mina stangreta w niebieskiej pelerynie wydaje się nietęga, nie spodziewał się widać takiego zamieszania i teraz rozpaczliwie szuka wzrokiem okazji, żeby zjechać z tej diabelskiej drogi.","Now a wagon flies by them, its cover a tarpaulin riddled with holes; it carries a load of the exuberant Jews who converge upon the Rohatyn market from all over. Next a very ornate carriage wedges its way through, though in the fog and the crowd it has trouble preserving its dignity—its vibrant little lacquered doors are caked with mud, and the cerulean-cloaked coachman's countenance is wan, as he must not have been expecting such a commotion and is now desperately seeking any opportunity to get off this terrible road.",1,2
cs-pl,nmt,1-2,"""Tak co, líbí se ti něco?"" zeptal se Frodo, když viděl, jak na obrázky koukám.","""Więc, podoba ci się coś?"" Zapytał Frodo, kiedy zobaczył, że oglądam zdjęcia.",1,2
cs-pl,nmt,1-2,"""Tak si ho vezmi, jestli chceš,"" mrkl na mě Frodo, ""teda pokud mi taky jeden svůj dáš.""","""Więc weź go, jeśli chcesz,"" Frodo mrugnął do mnie, ""to znaczy, jeśli dasz mi też jeden ze swoich"".",1,2
cs-pl,gpt4,1-2,"""Tak si ho vezmi, jestli chceš,"" mrkl na mě Frodo, ""teda pokud mi taky jeden svůj dáš.""","""Weź go sobie, jeśli chcesz,"" Mrugnął do mnie Frodo, ""no chyba, że dasz mi jeden z twoich.""",1,2
cs-pl,llama,1-2,"Ty se mi líbily nejvíc, protože na nich vlastně skoro nic nebylo, třeba jen jako zasněžená krajina, kde trošičku vylízala ze sněhu hlína a kousek hráze u rybníka, ale přitom to bylo úplně nejlepší.","Ciebie najbardziej lubiłem, ponieważ na nich była prawie nic, np. Tylko jak zasnieżona krajobraz, gdzie trochę gliny wylizała ze śniegu i kawałek grobli przy stawie, ale to było zupełnie najlepsze.",1,2
cs-pl,llama,1-2,"Radši jsem zhasla lampičku a v duchu si pořád představovala, jak si můj obrázek dlouho prohlížel a pochválil mě před celou třídou.","Pochwaliłam się, że jestem głupia. Zagasłem światłko i wciąż sobie wyobrażałem, jak moje obrazek długo przeglądał i chwalił mnie przed całą klasą.",1,2
cs-pl,llama,0-1,,"The Polish translation is Pytanie o to, czy maluję i doma, zostało odrzucone.",0,1
cs-pl,llama,1-2,"Nejradši bych mu řekla i to, že chci být malířkou, ale mamka pořád opakuje, že je to blbost, že člověk musí dělat něco pořádnýho, jako třeba ona dělá knihovnici v knihovně, tak jsem raději mlčela, aby si nemyslel, že mám blbý nápady.","Odpowiedziałam, że tak. Najbardziej chciałabym mu powiedzieć, że chcę być malarką, ale mamka ciągle powtarza, że to głupota, że człowiek powinien robić coś sensownego, jak na przykład ona w bibliotece, więc wolę milczeć, aby nie myślał, że mam dziwne pomysły.",1,2
cs-pl,human,1-2,"""Tenhle nejvíc,"" ukázala jsem na zasněženou krajinu.",To najbardziej. Wskazałam na zaśnieżony krajobraz.,1,2
cs-pl,human,1-3,"""Tak si ho vezmi, jestli chceš,"" mrkl na mě Frodo, ""teda pokud mi taky jeden svůj dáš.""","Możesz go wziąć, jeśli chcesz. Frodo mrugnął do mnie. Pod warunkiem, że też dasz mi którąś ze swoich prac.",1,3
cs-pl,human,1-2,"Na několika obrázcích byly různý postavy, nebo třeba jen člověk jako by si obtiskl páteř na papír, potom takový krásný domečky a několik takovejch neurčitejch krajin.","Na kilku obrazkach były różne postacie albo na przykład coś takiego, jakby człowiek odcisnął na papierze kręgosłup. Na kolejnych takie ładniutkie domki i kilka rozmazanych krajobrazów.",1,2
cs-pl,human,1-2,"Ty se mi líbily nejvíc, protože na nich vlastně skoro nic nebylo, třeba jen jako zasněžená krajina, kde trošičku vylízala ze sněhu hlína a kousek hráze u rybníka, ale přitom to bylo úplně nejlepší.","Te podobały mi się najbardziej, bo właściwie nie było na nich nic konkretnego, tylko na przykład śnieg, spod którego gdzieniegdzie prześwituje glina, i kawałek grobli nad stawem. Właśnie ten obraz był najlepszy.",1,2
cs-pl,human,1-3,"Nejradši bych mu řekla i to, že chci být malířkou, ale mamka pořád opakuje, že je to blbost, že člověk musí dělat něco pořádnýho, jako třeba ona dělá knihovnici v knihovně, tak jsem raději mlčela, aby si nemyslel, že mám blbý nápady.","Najchętniej powiedziałabym mu też, że chcę zostać malarką, ale mama ciągle powtarza, że to głupota, bo człowiek musi robić coś porządnego. Tak jak ona na przykład jest bibliotekarką. Milczałam więc, żeby nie myślał, że mam głupie pomysły.",1,3
de-en,gpt3,1-2,"""Klappe halten"", sagte der Optiker noch einmal lauter und ging schneller, ""Selma findet nur sehr selten etwas bedrohlich oder unansehnlich.""","""Be quiet,"" the optician said again, louder this time, and he walked faster. ""Selma rarely finds anything threatening or ugly.""",1,2
de-en,gpt3,1-2,"Aber die Liebe fände sie womöglich ausgerechnet doch unansehnlich, zischelten die Stimmen, es habe ja einen Grund, sagten sie, dass die Wahrheit so lange verborgen wurde.","But perhaps Love would find her unappealing, the voices hissed. There must be a reason, they said, why the truth was kept hidden for so long.",1,2
de-en,gpt3,1-2,"""Besonnenheit war das"", sagten die Stimmen, ""Angst ist ja manchmal doch ein guter Ratgeber"", sagten sie und summten die Titelmelodie der Vorabendserie.","""It was prudence,"" the voices said. ""Fear can sometimes be a good advisor,"" they said, humming the theme song of the evening show.",1,2
de-en,gpt3,2-1,"Er würde sich an Bauer Häubels Bett stellen und fragen: ""Passt es Ihnen jetzt? Ich kann sonst auch zu einem späteren Zeitpunkt vorbeikommen.""","He would stand by Farmer Häubel's bed and ask: ""Is it comfortable for you now? I can also come by at a later time.""",2,1
de-en,gpt3,1-2,"Bauer Häubel würde sich aufrichten und ""Nein, nein, es passt mir gerade sehr gut"" sagen, ""lassen Sie es uns besser nicht noch einmal verschieben, wer weiß, wann Sie es wieder einrichten können"", und der Tod würde sich auf den schon bereitgestellten Stuhl am Kopfende setzen.","Farmer Häubel would straighten up and say, ""No, no, it suits me just fine. Let's not postpone it again, who knows when you'll be able to arrange it again,"" and Death would sit down on the chair already provided at the head of the table.",1,2
de-en,gpt3,2-1,"Seit unserer ersten Zugfahrt spielten wir immer dasselbe: Wir stellten uns mit dem Rücken zu den Fenstern an die gegenüberliegenden Zugtüren, Martin machte die Augen zu, ich sah aus dem Fenster der Zugtür, die Martin im Rücken hatte.","Since our first train ride, we always played the same game: We stood with our backs to the windows at the opposite train doors, Martin closed his eyes, and I looked out of the window of the door behind Martin.",2,1
de-en,gpt3,1-2,"""Jetzt Feld. Weide.","""Now march. Graze.",1,2
de-en,gpt3,1-2,"""Was soll es denn sonst gewesen sein"", sagte Selma, und dass man ein Okapi ja nur schwerlich mit einem anderen Tier verwechseln könne.","""What else could it have been?"" Selma said, noting that it would be hard to mistake an okapi for any other animal.",1,2
de-en,gpt3,1-2,"""Das ist doch Quatsch"", sagte Selma und rieb sich die Stirn, ""das ist doch leider Quatsch, Luise.""","""That's nonsense,"" Selma said, rubbing her forehead. ""That's just nonsense, Luise.""",1,2
de-en,gpt3,1-2,"""Was ist denn?"", fragte ich.","""What is it?"" I asked.",1,2
de-en,gpt3,1-3,"""Käse, bitte"", sagte ich, ""was hast du denn?"" ""Nichts"", flötete Selma, ""hab ich doch gesagt.""","""Cheese, please,"" I said. ""What's wrong?"" ""Nothing,"" Selma trilled, ""I said so.""",1,3
de-en,nmt,2-1,"Sie machten unbekümmert all das, was man bei Aberglauben nicht machen darf: Sie saßen gelassen unter Wanduhren, obwohl man bei Aberglauben daran sterben kann, sie schliefen mit dem Kopf zur Tür hin, obwohl das bei Aberglauben bedeutet, dass man durch genau die Tür bald mit den Füßen zuerst hinausgetragen wird.","They blithely did everything that superstitions shouldn't do: they sat serenely under wall clocks, although superstitions can kill you, they slept with their heads towards the door, although superstitions mean you'll be walking through that very door soon being carried out feet first.",2,1
de-en,nmt,2-1,"Seit unserer ersten Zugfahrt spielten wir immer dasselbe: Wir stellten uns mit dem Rücken zu den Fenstern an die gegenüberliegenden Zugtüren, Martin machte die Augen zu, ich sah aus dem Fenster der Zugtür, die Martin im Rücken hatte.","Ever since our first train journey, we've always played the same thing: we stood with our backs to the windows at the opposite train doors, Martin closed his eyes, I looked out of the window of the train door that had Martin behind me.",2,1
de-en,nmt,1-2,"""Jetzt Feld. Weide.",'Now field. Pasture.,1,2
de-en,nmt,1-2,Das Gehöft vom verrückten Hassel.,Mad Hassel's homestead. Meadow.,1,2
de-en,nmt,3-2,Wiese. Wald. Wald.,Forest. Forest.,3,2
de-en,nmt,1-2,"""Was ist denn?"", fragte ich.","""What is it?"" I asked.",1,2
de-en,nmt,1-2,"""Käse, bitte"", sagte ich, ""was hast du denn?"" ""Nichts"", flötete Selma, ""hab ich doch gesagt.""","""Cheese, please,"" I said, ""what do you have?"" ""Nothing,"" Selma chirped, ""I told you so.""",1,2
de-en,gpt4,1-2,"""Jetzt Feld. Weide.",Now field. Pasture.,1,2
de-en,gpt4,1-2,"""Doch"", sagte ich, es könne ja auch ein verwachsenes Rind gewesen sein, eine falsch zusammengesetzte Giraffe, eine Laune der Natur, und die Streifen und das Rostrote, das könne man doch alles nicht so genau erkennen in der Nacht, da sei schließlich alles sehr verschwommen.","""But,"" I said, ""it could have just been a malformed cow, a wrongly assembled giraffe, a freak of nature. And the stripes and the rust-red color, one cannot identify all that accurately in the night; after all, everything is quite blurry.""",1,2
de-en,gpt4,1-2,"""Käse, bitte"", sagte ich, ""was hast du denn?"" ""Nichts"", flötete Selma, ""hab ich doch gesagt.""","""Cheese, please,"" I said, ""what do you have?"" ""Nothing,"" sang Selma, ""I told you so.""",1,2
de-en,llama,1-2,"""Klappe halten"", sagte der Optiker noch einmal lauter und ging schneller, ""Selma findet nur sehr selten etwas bedrohlich oder unansehnlich.""","""Keep your trap shut,"" the optician said again, louder this time, and walked faster. ""Selma hardly ever finds anything threatening or unattractive.""",1,2
de-en,llama,1-2,"Bauer Häubel würde sich aufrichten und ""Nein, nein, es passt mir gerade sehr gut"" sagen, ""lassen Sie es uns besser nicht noch einmal verschieben, wer weiß, wann Sie es wieder einrichten können"", und der Tod würde sich auf den schon bereitgestellten Stuhl am Kopfende setzen.","Farmer Häubel would straighten up and say, ""No, no, it fits me very well,"" ""Let's not put it off again, who knows when you'll be able to set it up again,"" and Death would sit down on the already prepared chair at the head of the table.",1,2
de-en,llama,1-2,"An solchen Tagen war alles möglich, da konnten einem auch vergreiste Dackel die Kehle durchbeißen, viel abwegiger als ein Okapi war das schließlich nicht.","On days like these, anything was possible. Even a mangy dachshund could bite through a person's neck, and that was far more outlandish than an okapi.",1,2
de-en,llama,1-2,"""Jetzt Feld. Weide.",Now field. Meadow.,1,2
de-en,llama,3-1,Wiese. Wald. Wald.,Meadow Forest Forest,3,1
de-en,llama,4-1,"Feld. Wald. Wiese. Weide, Weide.","Field Forest Meadow Meadow, meadow.",4,1
de-en,llama,4-1,Reifenfabrik. Dorf. Weide. Feld.,Tire factory Village Meadow Field,4,1
de-en,llama,3-1,Hof. Feld. Wald.,Court Field Forest,3,1
de-en,llama,2-1,"Hochsitz drei. Dorf.""",High seat three Village,2,1
de-en,llama,1-2,"""Käse, bitte"", sagte ich, ""was hast du denn?"" ""Nichts"", flötete Selma, ""hab ich doch gesagt.""","""Cheese, please,"" I said, ""what do you have?"" ""Nothing,"" Selma replied, ""I already said that.""",1,2
de-en,human,1-2,"""Klappe halten"", sagte der Optiker noch einmal lauter und ging schneller, ""Selma findet nur sehr selten etwas bedrohlich oder unansehnlich.""","""Shut up,"" the optician repeated even louder as he picked up his pace. ""Selma rarely finds anything threatening or unsightly.""",1,2
de-en,human,1-2,"Aber die Liebe fände sie womöglich ausgerechnet doch unansehnlich, zischelten die Stimmen, es habe ja einen Grund, sagten sie, dass die Wahrheit so lange verborgen wurde.","""That doesn't mean she won't think your love unsightly,"" the voices hissed. ""After all, there are reasons you've kept the truth hidden so long,"" they continued.",1,2
de-en,human,1-2,"""Besonnenheit war das"", sagten die Stimmen, ""Angst ist ja manchmal doch ein guter Ratgeber"", sagten sie und summten die Titelmelodie der Vorabendserie.","""It was prudence,"" the voices retorted. ""Fear sometimes gives good advice,"" they said, and hummed the show's theme music.",1,2
de-en,human,1-2,"Der Hund war schneematschfarben, er war verwaschen grau und zottelig wie ein ausschließlicher Irischer Wolfhund ohne etwas anderes drin.",The dog was the color of slush. It was watery gray and shaggy as only purebred Irish wolfhounds can be.,1,2
de-en,human,1-3,"Bauer Häubel würde sich aufrichten und ""Nein, nein, es passt mir gerade sehr gut"" sagen, ""lassen Sie es uns besser nicht noch einmal verschieben, wer weiß, wann Sie es wieder einrichten können"", und der Tod würde sich auf den schon bereitgestellten Stuhl am Kopfende setzen.","Farmer Häubel would sit up and say, ""No, no, this is a very good time. Let's not put it off, who knows when you'll be able to arrange it again."" And Death would sit on the chair placed and ready for him at the head of the bed.",1,3
de-en,human,1-2,"Sie machten einen Bogen um die gutartigen Kühe, die heute womöglich austreten würden, sie mieden die Hunde, auch die ganz alten, die kaum noch stehen konnten, ihnen aber heute vielleicht trotzdem an die Gurgel gehen würden.","They kept clear of the good-natured cows who, they believed, might go berserk that day. They avoided all dogs, even the very old ones who could barely stand.",1,2
de-en,human,1-2,"Sie saßen gelassen unter Wanduhren, obwohl man bei Aberglauben daran sterben kann, sie schliefen mit dem Kopf zur Tür hin, obwohl das bei Aberglauben bedeutet, dass man durch genau die Tür bald mit den Füßen zuerst hinausgetragen wird.","They sat calmly under wall clocks even though the superstitious can die from it. They slept with their heads toward the door, though superstition claimed they'd soon be carried out that very door feetfirst.",1,2
de-en,human,1-2,"""Jetzt Feld. Weide.","""Now field. Meadow.",1,2
de-en,human,1-2,Das Gehöft vom verrückten Hassel.,Crazy Hassel's farmhouse. Pasture.,1,2
de-en,human,3-2,Wiese. Wald. Wald.,Forest. Forest.,3,2
de-en,human,1-2,"""Was soll es denn sonst gewesen sein"", sagte Selma, und dass man ein Okapi ja nur schwerlich mit einem anderen Tier verwechseln könne.","""What else would it have been?"" Selma asked, adding that you can hardly mistake an okapi for another animal.",1,2
de-en,human,1-2,"Sie war hochgeschreckt, nachdem das Bild vom Okapi sich zurückgezogen hatte, aufrecht im Bett sitzend war sie aufgewacht und hatte auf ihr Nachthemd gestarrt, in dem sie eben noch im Traum auf der Uhlheck gestanden hatte, und dann auf den Wecker.","She had woken with a start after the image of the okapi slipped away. She'd sat bolt upright in bed and had gasped at her nightgown, the same one she had been wearing just now standing in the Uhlheck in her dream, then at her alarm clock.",1,2
de-en,human,1-2,"""Was ist denn?"", fragte ich.","""What's the matter?"" I asked.",1,2
de-en,human,1-2,"""Nichts"", flötete Selma, öffnete den Kühlschrank, holte ein Paket Schnittkäse und eine Leberwurst heraus und schwenkte beides durch die Luft.","""Nothing,"" Selma warbled, and opened the refrigerator. She took out a package of sliced cheese and some liverwurst and waved them both in the air.",1,2
de-en,human,1-3,"""Käse, bitte"", sagte ich, ""was hast du denn?"" ""Nichts"", flötete Selma, ""hab ich doch gesagt.""","""Cheese, please,"" I said. ""What's going on with you?"" ""Like I said: nothing,"" she warbled.",1,3
de-en,human,1-2,"Selma hatte in ihrem Leben dreimal von einem Okapi geträumt, und jedes Mal war danach jemand gestorben, deshalb waren wir überzeugt, dass der Traum von einem Okapi und der Tod unbedingt miteinander verbunden waren.","Selma had dreamed of an okapi three times in her life, and each time someone had then died. That's why we were convinced her dreams of an okapi were directly connected to death.",1,2
de-pl,gpt3,1-2,"""Käse, bitte"", sagte ich, ""was hast du denn?"" ""Nichts"", flötete Selma, ""hab ich doch gesagt.""","""Ser proszę"" powiedziałem ""co masz?"" ""Nic"" zaśpiewała Selma ""przecież to powiedziałam"".",1,2
de-pl,gpt3,1-2,"Sie war hochgeschreckt, nachdem das Bild vom Okapi sich zurückgezogen hatte, aufrecht im Bett sitzend war sie aufgewacht und hatte auf ihr Nachthemd gestarrt, in dem sie eben noch im Traum auf der Uhlheck gestanden hatte, und dann auf den Wecker.","Przestraszyła się, gdy obraz okapi zniknął. Usiadła prosto w łóżku, ocknęła się i wpatrywała się w swoją piżamę, w której chwilę wcześniej stała na Uhlheck w swoim śnie, a potem w zegar.",1,2
de-pl,gpt3,1-2,"Seit unserer ersten Zugfahrt spielten wir immer dasselbe: Wir stellten uns mit dem Rücken zu den Fenstern an die gegenüberliegenden Zugtüren, Martin machte die Augen zu, ich sah aus dem Fenster der Zugtür, die Martin im Rücken hatte.","Od naszej pierwszej podróży pociągiem zawsze gramy w to samo: Stanęliśmy plecami do okien, naprzeciwko drzwi wagonu. Martin zamknął oczy, ja patrzyłam przez okno drzwi, które miał Martin za plecami.",1,2
de-pl,gpt3,4-1,Wiese. Wald. Wald. Hochsitz eins.,Łąka. Las. Las. Wieża obserwacyjna nr 1.,4,1
de-pl,gpt3,3-1,Feld. Wald. Wiese.,Pole. Las. Łąka.,3,1
de-pl,gpt3,4-1,"Weide, Weide. Reifenfabrik. Dorf. Weide. Feld.","Wiej, wiej. Fabryka opon. Wieś. Trawa. Pole.",4,1
