langs,system,n2m,source,target,n2mS,n2mT
de-en_news,human,1-2,Mikrotransaktionen in Diablo IV: Blizzard nennt Details und Preise der Monetarisierung <URL>,Microtransactions in Diablo IV: Blizzard gives details and prices of monetization <URL>,1,2
de-en_news,human,1-2,#DiabloIV #ActivisionBlizzard Nach der politischen Krise und Neuwahlen 2020 reisen Politiker*innen verschiedenster Couleur erstmals gemeinsam (!) nach Deutschland.,"#DiabloIV #ActivisionBlizzard After the political crisis and new elections in 2020, politicians of all persuasions will travel to Germany together (!) for the first time.",1,2
de-en_news,human,1-2,"Parteikollegin Annegret Kramp-Karrenbauer elf, genauso das Bildungsministerium unter Anja Karliczek, auch sie ist CDU-Ministerin.","Fellow party member Annegret Kramp-Karrenbauer, eleventh, as well as the Ministry of Education under Anja Karliczek, who is also a CDU minister.",1,2
de-en_news,human,1-4,Digitale Ausgrenzung: eine neue Form der Diskriminierung Die ganze Doku Bei mir:,Digital exclusion: A new form of discrimination The full documentary For me:,1,4
de-en_news,human,1-2,"Morgen kann ich endlich meinen Rechner zur Wiederherstellung abgeben und dann ist die Perspektive ganz gut, dass ich irgendwann im Juni wieder arbeiten kann.",Tomorrow I can finally hand in my computer for reconditioning and then the prospect that I can work again sometime in June is quite good.,1,2
de-en_news,human,3-1,Das Plenum ist aufgerufen der Idee zu folgen; ebenso muss dieses Prinzip im #CyberResilienceAct und der #ProductLiabilityDirective verankert werden.,"The plenary session is called upon to follow the idea; similarly, this principle must be anchored in the #CyberResilienceAct and the #ProductLiabilityDirective.",3,1
de-en_news,human,1-4,"Softwareprobleme: Polestar verschiebt Produktionsstart und baut Personal ab <URL> Morgen habe ich wieder frei, weil keine Aufliegerbeschriftung und auch nicht so schrecklich viel dringliches zu tun.","Software problems: Polestar postpones start of production and cuts staff <URL> I am off again tomorrow, because no trailer lettering and also nothing very urgent to do.",1,4
de-en_news,human,1-2,"Ein Mikrofon, stromsparend und inspiriert von der Natur Eine britische Forschergruppe nutzt 3D-Druck, um biomimetische Klangaufnahmesysteme zu entwickeln.","A microphone, power-saving and inspired by nature A British research group is using 3D printing to develop biomimetic sound recording systems.",1,2
de-en_news,human,2-1,Welche Farbe hat eure bzw. Wollt ihr haben?,"What color is yours, or what color would you like?",2,1
de-en_news,human,1-2,Leise verhallt der Klang Auf dem Weg heim.,Sound quietly fades On the way home.,1,2
de-en_news,human,1-2,Menschenrechtsorganisationen schlagen jetzt Alarm: Die Freiheit der Wahl sei in Gefahr.,Human rights organizations are now sounding the alarm: Freedom of choice is in danger.,1,2
de-en_news,human,1-3,Moitzfeld: Diskussion um neue Kita <URL> #radioberg #bergischesland #nachrichten #lokalnachrichten #nrw #oberberg #rheinberg #news,Moitzfeld: Discussion about new daycare centers <URL> #radioberg #bergischesland #news #localnews #nrw #oberberg #rheinberg #news,1,3
de-en_news,human,2-1,Gibt es hier im #Fediverse bzw. Auf der Instanz NRW.social auch Menschen von der #GenerationZ ?,Are there also people from the #GenerationZ here in the #Fediverse or on the NRW.social entity?,2,1
de-en_news,human,1-2,Bahnstreik: Komme ich Sonntag auch nach 22 Uhr noch ans Ziel?,Rail strike: Will I still get to my destination after 10 pm on Sunday?,1,2
de-en_news,human,2-1,"Hacking& Pentest-Hardware Vortrag bei der Polizei Ich wurde eingeladen, den angehenden Polizisten und Polizistinnen die wichtigsten Tools vorzustellen.",Hacking& pentest hardware lecture at the police I was invited to present the most important tools to the prospective policemen and policewomen.,2,1
de-en_news,human,1-2,"NBA: Stephen Curry mit 27 Punkten, Warriors schlagen Lakers Highlights, Boxscore, Statistiken: <URL>","NBA: Stephen Curry with 27 points, Warriors beat Lakers highlights, box scores, statistics: <URL>",1,2
de-en_news,human,1-2,"#basketball #nba Bei Hertha ist das noch fraglich, gegen den Tabellenletzten aus Berlin liegt ein Sieg in der Luft.",#basketball #nba It is still questionable for Hertha to pull out a win against the last team in the table from Berlin.,1,2
de-en_news,human,1-2,"Die US-Wahl 2020: immer noch ""gestohlen"".","2020 U.S. Elections: Still ""stolen.""",1,2
de-en_news,human,1-3,"Eine #PopClip-Extension, mit der man Text in #Obsidian farbig markieren kann ... <URL> #FAV2023 Nach einer #Coaching-Session und der Mittagspause geht es mit den #Digitallotsen weiter ""#Batterien ausrangierter #EAutos sind oft noch lang nicht ausgepowert.","A #PopClip extension that lets you color code text in #Obsidian ... <URL> #FAV2023 After a #coaching session and lunch break, we will continue with the #digitallots ""#Batteries of discarded #e-cars are often far from exhausted.",1,3
de-en_news,human,1-2,Googles ziemlich dick aufgetragene KI-Machtdemonstration <URL> Der Eingang zu unserem Hotel in Argenton-sur-Creuse macht Lust die Welt dahinter zu erkunden.,Google's AI power demonstration layed on rather thick <URL> The entrance to our hotel in Argenton-sur-Creuse makes you want to explore the world beyond.,1,2
de-en_news,human,1-2,Fairbuds XL: So klingt Nachhaltigkeit Sie sind leicht zu reparieren.,Fairbuds XL: This is what sustainability sounds like They're easy to repair.,1,2
de-en_news,human,1-3,Pakistan: Oberstes Gericht ordnet Freilassung von Imran Khan an Der Anwalt von Pakistans Ex-Premier hat Erfolg mit seiner Beschwerde: Imran Khan soll freigelassen werden.,Pakistan: Supreme Court orders release of Imran Khan The lawyer of Pakistan's former prime minister succeeds with his appeal: Imran Khan is to be released.,1,3
de-en_news,human,1-3,1. Allgemeines Das Ein-Mann Unterhaltungsgerät BATTLEZONE ist mit einem Vectoroder auch X/YMonitor ausgestattet.,1. General The one-man BATTLEZONE entertainment device is equipped with a vector or even an X/Y monitor.,1,3
de-en_news,human,2-1,Diese können den Spieler-Panzer nicht angreifen. Umgekehrt kann der Spieler aber durch einen UFO-Treffer eine hohe Punktzahl erreichen.,"They cannot attack the player's tank, but the player can obtain a high score by shooting a UFO.",2,1
de-en_news,human,1-2,"5. Initialeneingabe bei Höchstergebnissen Überschreitet ein Spieler die Minimum-Punktzahl in der Tabelle der Höchstergebnisse, so kann ER oder SIE nach Spielende drei (3) persönliche Initialen in die Tabelle eingeben.","5. Initial entry of high score If a player exceeds the minimum number of points on the high score list, HE or SHE can enter three (3) personal initials on the list after the game ends.",1,2
de-en_news,human,1-3,AUFBAUANORDNUNG 1. Neue Teile Das Gerät BATTLEZONE besitzt fünf (5) neue Bauteile.,ASSEMBLY 1. New parts The BATTLEZONE device has five (5) new components.,1,3
de-en_news,human,1-2,Die neuen Teile sind: A. Der Steuerhebel.,The new parts are: A. The control lever.,1,2
de-en_news,human,1-2,D. Das Gerategehäuse.,D. The device housing.,1,2
de-en_news,human,1-2,2. Geräteinspektion Nach dem Entfernen der Verpackung ist dieses neue Unterhaltungsgerät spielbereit.,"2. Device inspection After removing the packaging, this new entertainment device is ready to play.",1,2
de-en_news,human,1-2,HINWEIS: Gerät noch nicht an das 220 V-Netz anschlieBen.,NOTE: Do not connect the device to the 220 V network yet.,1,2
de-en_news,human,2-1,Eventuelle offene bzw. Lose Stecker miteinander verbinden.,Connect any open or loose connectors with each other.,2,1
de-en_news,human,1-2,(3) Beachten Sie die Fertigungsnummer des Gerätes auf dem Typenschild auf der Geräterückseite.,(3) Note the device's serial number on the identification label on the back of the device.,1,2
de-en_news,human,1-2,"(4) Alle weiteren Hauptbauteile wie das Netzteil, die Bedienkonsole und den TV-Monitor auf einwandfreie Montage überprüfen.","(4) All other main components such as the power supply, the control panel, and the TV monitor should be inspected for proper installation.",1,2
de-en_news,human,1-2,(5) AbschlieBend muss das Gerät mit Netzspannung versorgt und eingeschaltet werden.,(5) The device must then be connected to the mains electricity and turned on.,1,2
de-en_news,human,1-2,"Überprüfen der Systemkonfiguration Bitte nehmen Sie sich die Zeit und überprüfen Sie, ob Ihr System den Anforderungen entspricht, die auf der Packung aufgelistet sind.",Check the system configuration Please take time to check whether your system meets the requirements listed on the package.,1,2
de-en_news,human,1-2,"Vor dem Starten des Spiels Es kann vorkommen, dass andere Programme die Systemressourcen in Beschlag nehmen, die das Spiel benötigt, um einwandfrei zu laufen.",Before starting the game It is possible that other programs are using the system resources that the game requires to run correctly.,1,2
de-en_news,human,1-2,"Das System aufräumen Bevor Sie Software installieren, muss sichergestellt sein, dass Ihre Festplatte optimal funktioniert.","Cleaning the system Before you install software, it must be confirmed that your hard drive is running properly.",1,2
de-en_news,human,1-2,"2. Klicken Sie jetzt in das Suchen-Feld und geben Sie das entsprechende Schlüsselwort ein, z. B. ""ScanDisk"" (Win 98/ME), ""Fehlerprüfung"" (Win 2000/XP), ""Defragmentierung"" und ""Datenträgerbereinigung"".","2. Now click in the search field and enter the appropriate keywords, such as ""ScanDisk"" (Win 98/ME), ""error checking"" (Win 2000/XP), ""defragmentation,"" and ""disk cleanup.""",1,2
de-en_news,human,1-2,Im Folgenden finden Sie aktuellsten Grafikkartenhersteller: Wie man alle unnötigen Hintergrundanwendung beenden kann Wichtiger Hinweis:,Below you will find the latest graphics card manufacturers: How you can end all unnecessary background applications Important note:,1,2
de-en_news,human,1-2,Windows 2000/XP Professional 1.,Windows 2000/XP Professional 1.,1,2
de-en_news,human,1-4,Windows XP Home 1. Halten Sie die Tasten STRG und ALT auf Ihrer Tastatur gedrückt und drücken Sie dann ENTF.,Windows XP Home 1. Hold down the CTRL and ALT keys on your keyboard and then press DEL.,1,4
de-en_news,human,1-2,"2. Um eine Hintergrundanwendung zu beenden, wechseln Sie zur Registerkarte ""Anwendungen"", klicken Sie auf den entsprechenden Eintrag in der Taskliste und dann auf die Schaltfläche ""Task beenden"".","2. To close a background application, switch to the ""Applications"" tab, click on the appropriate entry in the task list and then on the ""End Task"" button.",1,2
de-en_news,human,1-2,"Bevor Sie die Hotline anrufen Wenn Sie anrufen möchten, sollten Sie sich an Ihren PC setzen und die folgenden Informationen bereithalten (siehe Abschnitt ""Überprüfen der Systemkonfiguration"").","Before you call the hotline If you would like to call, you should be seated at your PC and have the following information available (see the ""Check the system configurations"" paragraph).",1,2
de-en_news,human,1-3,"Windows® Me) RAM (Arbeitsspeicher) Informationen über Grafikund Soundkarte und Treiber EINLEITENDE WORTE ZU FAHRENHEIT Der Wunsch, Videospiele zu entwickeln wurde bei mir durch das Aufkommen der 3D-Echtzeit-Technologie entfacht, die plötzlich jede Menge neuer Möglichkeiten eröffnete und mir als ein neues Ausdrucksmittel erschien, mithilfe dessen man die Welt an ihre Grenzen stoßen lassen konnte.","RAM (random access memory) information about graphics and sound cards and drivers INTRODUCTION TO FAHRENHEIT The desire to develop video games was ignited in me after the rise of real-time 3D technology, which suddenly opened up a number of new possibilities and seemed to be a new form of expression to me which could be used to help push the world to its limits.",1,3
de-en_news,human,2-1,Ich kam mir wie ein cinematographischer Pionier zu Beginn des 20. Jahrhunderts vor:,I felt like a cinematic pioneer in the early 20th century:,2,1
de-en_news,human,1-2,"David Cage DIE README-DATEI Auf der Fahrenheit DVD-ROM befindet sich eine ReadMeDatei, in der die Lizenzvereinbarung und aktualisierte Informationen zum Spiel eingesehen werden können.",David Cage THE README FILE A README file that includes the licensing agreement and up-to-date information on the game can be found on the Fahrenheit DVD-ROM.,1,2
de-en_news,human,1-2,SETUP UND INSTALLATION 1.,SETUP AND INSTALLATION 1.,1,2
de-en_news,human,1-3,Starten Sie Windows® 2000/XP.,Start Windows® 2000/XP. 2.,1,3
de-en_news,human,1-2,2. Legen Sie die Fahrenheit DVD-ROM in das DVD-ROM-Laufwerk ein.,Insert the Fahrenheit DVD-ROM into the DVD-ROM drive.,1,2
de-en_news,human,1-2,"3. Wenn die Option ""AutoPlay"" aktiviert ist, sollte der Titelbildschirm erscheinen.","3. If the ""AutoPlay"" option is active, the title screen should appear.",1,2
de-en_news,human,1-2,"4. Befolgen Sie die Anweisungen auf dem Bildschirm, um die Installation der Fahrenheit DVD-ROM abzuschließen.",4. Follow the instructions on the screen to complete the Fahrenheit DVD-ROM installation.,1,2
de-en_news,human,1-2,"5. Sobald die Installation beendet ist, klicken Sie auf die Start-Schaltfläche der Windows®-Taskleiste und wählen Programme/Atari/Fahrenheit/Fahrenheit, um das Spiel zu starten.","5. As soon as the installation is completed, click on the Start button on the Windows® taskbar and choose Program/Atari/Fahrenheit/Fahrenheit to start the game.",1,2
de-en_news,human,1-3,"Bitte bei der Aufstellung beachten Transportschäden Soweit äußerliche Transportschäden erkennbar sind, müssen diese sofort beanstandet, auf einem Transportschein festgehalten und vom Anlieferer (Spediteur, Bundesbahn, etc.) bestätigt werden.","When setting up, please note Shipping damage If external shipping damage is observed, it must immediately be reported, recorded on the shipping documents, and confirmed by the deliverer (shipper, Federal Railway, etc.).",1,3
de-en_news,human,1-2,Bei Überwachung und Erprobung: Spannung führende Teile nicht berühren!,When monitoring and testing: Do not touch conductive parts!,1,2
de-en_news,human,1-2,SERVICE MANUAL QIX Spielablauf Durch Drücken des entsprechenden Startknopfes wird das Spiel fur einen oder (bei Mindestkredit 2) fur 2 Spieler gestartet.,"SERVICE MANUAL QIX Gameplay By pushing the appropriate start button, the game is started for one or (with a minimum of 2 credits) for 2 players.",1,2
de-en_news,human,1-4,"Programmieru.Test Schalter: SUB-TEST Funktion: Weiterschalten auf nächsten Schriftzug Programmieru.Test Schalter: TEST Funktion: Weiterschalten auf nächsten Programmschritt (Anzeige) Programmieru.Test Schalter: Up Funktion: Rückstellung auf Fabrikeinstellung (bis Schriftzug grün), Aufzählung um 1 Schritt (wenn Schriftzug grün leuchtet) Programmieru.Test Schalter: Down Funktion: Ruckzählung um 1 Schritt Es besteht die Möglichkeit, in das Gerät einen Münzzähler einzubauen.","Programming and test switch: SUB-TEST Function: Advance to next text Programming and test switch: TEST Function: Advance to next programming step (display) Programming and test switch: Up Function: Revert to factory settings (until text is green), advance 1 step (when text glows green) programming and test switch: Down Function: Go back 1 step A coin counter can be installed in the device.",1,4
de-en_news,human,2-1,"Durch mehrfachen Druck auf den ""Sub-Test""-Schalter kann die Fabrikbzw. Grundeinstellung erreicht werden, wenn die unterste Zeile (RESET-Zeile) grün leuchtet, ""Up""-Schalter"" drücken.","By pressing the ""Sub Test"" switch multiple times, you can revert to the factory or original setting; when the bottom row (RESET row) glows green, press the ""Up"" switch.",2,1
de-en_news,human,1-3,"Weitere Programmierungen: ""Anzahl der Spiele"": Anzahl der Markierungszeichen je Kredit ""Schwelle"": Höhe der %-Zahl, die erreicht werden muss, um Umschaltung auf den nächsten Durchgang ""Zeitgrenze"": Freigabe für zusätzliche Sparx ""Schwierigkeit"": Schwierigkeitsgrad des Spielablaufes ""Anziehton"": bei ""0"" kein Ton bei Standbetrieb bei ""1"" Ton auch bei Standbetrieb (Animierton) ""Tischmodell"": bei ""0"" Standgerät bei ""1"" Tischgerät Die Kredite pro Münze werden auf der ""Einwurfschlitz-Programmierungs""-Anzeige eingestellt.","Other programming: ""Number of players"": Number of markers per credit ""Threshold"": Percentage that must be reached in order to switch to the next round ""Time limit"": Release of additional Sparx ""Difficulty"": Difficulty level of gameplay ""Attraction sound"": At ""0"" no volume in standby mode at ""1"" volume also in standby mode (animation sound) ""Table model"": at ""0"" free-standing unit at ""1"" tabletop device The credits per coin are set in the ""Insert slot programming"" display.",1,3
de-en_news,human,1-3,Folgende Werte werden registriert: Gesamt-Kredit: Die Anzahl der bezahlten Kredite.,The following values are registered: Total credits: The number of paid credits.,1,3
de-en_news,human,1-2,Linksseitige Münzen: Anzahl der im linken Münzeinwurfschlitz eingeworfenen Münzen.,Left side coins: Number of coins inserted into the left coin slot.,1,2
de-en_news,human,1-2,Mittlere Münzen: (nicht vorhanden) Rechtsseitige Münzen: Anzahl der im rechten Münzeinwurfschlitz eingeworfenen Münzen.,Middle coins: (not available) Right side coins: Number of coins inserted into the right coin slot.,1,2
de-en_news,human,1-2,"Durchschnittliche Spieldauer in Sek.: Gespielte Minuten/gezahlte + gewährte Kredite High Score (Trefferquote): Anzahl, bei denen ein Spieler genügend hohe Trefferquoten hatte, um andere Spieler aus der Highscore-Liste zu verdrängen.",Average game duration in sec.: Minutes played/paid + credits granted High Score (hit rate): Number at which a player has a high enough hit rate to remove other players from the high-score list.,1,2
de-en_news,human,1-2,"Münzeinheiten ""Kredit"" zeigt die Zahl der erforderlichen Einheiten, bevor ein Kredit ausgegeben wird.","Coin units ""Credit"" shows the number of units required before credit is granted.",1,2
de-en_news,human,1-3,"CMOS MEMORY (Speicher) AUSFALL Wenn ""Memory Failure Service Required"" auf der Anzeige erscheint, ist der CMOS RAM, in dom alle Programmierungen gespeichert sind, ausgefallen.","CMOS MEMORY (Memory) FAILURE If ""Memory Failure Service Required"" appears on the display, the CMOS RAM, in which all the programming is stored, has failed.",1,3
de-en_news,human,1-2,FEHLERSUCHE und EINSTELLUNGEN Beginn der Prüfmethode.,TROUBLESHOOTING and SETTINGS Start testing method.,1,2
de-en_news,human,1-2,Hardware-Tests: Diese Tests werden wie folgt durchgeführt: O = aus / I = ein / X = Testergebnisse,Hardware tests: These tests are conducted as follows: O = out / I = in / X = test results,1,2
de-en_news,human,1-2,"Communications RAM vom Video Board Der Communications RAM-Test bestimmt die Funktionssicherheit des Speichers, der von zwei Prozessoren geteilt wird, indem er vorbestimmte Serien von Nummern im RAM speichert und dann prüft, ob die Speicherung korrekt war.",Communications RAM from the video board The communications RAM test determines the memory's functional security that is shared by the two processors by storing predetermined series of numbers in RAM and then testing them to determine whether they were stored correctly.,1,2
de-en_news,human,2-1,"Wenn das Gerdt mit dem o.a. Display hält, wurde ein Fehler entdeckt.","If the device holds with the above display, a mistake was detected.",2,1
de-en_news,human,1-2,"Video Board CMOS RAM Nachdem Werte in einen anderen Teil des Speichers eingeschrieben wurden, wird das CMOS RAM in der gleichen Weise wie das Communications RAM geprüft.","Video Board CMOS RAM After values have been entered into a different part of the memory, the CMOS RAM is tested in the same manner as the communications RAM.",1,2
de-en_news,human,2-1,Prüfen Sie in diesem Falle U 85 und U 86 und die damit verbundenen Stromkreise bzw. Die Dekodierung.,"If this is the case, test U 85 and U 86 and the related circuits or the decoding.",2,1
de-en_news,human,1-2,Leider entäuscht Die Jacke kam nach 2 Tagen mit AMAZON logistics an.,Unfortunately disappointed The jacket arrived after 2 days with AMAZON logistics.,1,2
de-en_news,human,1-2,Das ist auch der Grund für Stern Nr 1.,This is also a reason for star no. 1.,1,2
de-en_news,human,1-2,Im Endeffekt hätte sie von der Länge her und an der Hüfte gepasst...im Rest konnte ich schwimmen.,"In the end, it would have fit in length and hip area.... I could swim in the rest.",1,2
de-en_news,human,1-3,Einfach nur Schade.. Sie wird zurückgeschickt :/ Schnelle Lieferung und gute Verarbeitung,It's simply a shame.. It will be sent back :/ Fast delivery and good manufacturing,1,3
de-en_news,human,2-1,"Als der Rucksack dann gestern kam, folgte die Ernüchterung: Der Rucksack ist für unter 30 EUR nicht schlecht, das kann man nicht sagen.","When the backpack arrived yesterday, the disillusionment followed: the backpack is not bad for less than 30 euros, you can't say that.",2,1
de-en_news,human,1-2,"Zuerst einmal: Sooo schlecht ist der Film jetzt nicht, wie viele schreiben.",First of all: The movie is not aaaas bad as many write.,1,2
de-en_news,human,1-2,"Wie oft hab ich bei dem Film nur gedacht ( und das obwohl ich weiß, das es nur nen Film ist, und die Tiere aus dem Computer stammen) : Oh mein Gott, die armen Tiere, da schießen einen oftmals schon die Tränen in den Augen.","How often did I think while watching this movie ( and that even though I know that it is only a movie, and the animals are computer generated) : Oh my God, the poor animals, it made me tear up a lot.",1,2
de-en_news,human,1-2,Von daher ist Jurassic World Das gefallene Königreich schon wirklich ordentlich gemacht.,That is why Jurassic World: Fallen Kingdom is really well made.,1,2
de-en_news,human,1-2,"Ein leiser, sensibler Film Manche erwarten hier einen Film à la 8 Mile.","A quiet, sensitive movie Some expect this movie to be like 8 Mile.",1,2
de-en_news,human,1-2,"Problematisch Geschmack wie Quench aus den 90er, von wegen Orange, aber das ist auch egal.","Problematic Taste like Quench from the '90s, officially orange, but that doesn't matter.",1,2
de-en_news,human,1-2,"5 Tage jeden morgen ein Päckchen: es hat sich nichts bewegt, aber rein gar nichts.","A pack every morning for 5 days: Nothing has moved, but nothing has gone in.",1,2
de-en_news,human,1-2,Danach Durchfälle 5-8 mal täglich.,Followed by diarrhea 5-8 times a day.,1,2
de-en_news,human,1-2,"Ich habe meine blonden Haare im Oktober mit einer intensiv Tönung in ein Schokobraun gefärbt, im Februar/März habe ich diesen Haarfarben-Entferner benutzt.","In October, I colored my blond hair chocolate brown with an intensive coloring, in February/March I used this hair color remover.",1,2
de-en_news,human,1-2,"Nach 3 monatiger Verwendung der Akkuhülle habe ich Folgende groben Mängel entdeckt welche ich als sehr störend empfinde: 1) Die Hülle hat mit der Zeit Probleme sich mit dem Handy zu ""verbinden"".","After using it for 3 months, I detected the following major defects in the battery case which I find to be very annoying: 1) Over time, the case has a problem ""connecting"" to the cell phone.",1,2
de-en_news,human,1-2,Da ich es benutzt habe kann ich es leider nicht mehr umtauschen ich bin enttäuscht und kann es von meiner Seite her nicht weiter empfehlen der Preis für diese Tücher ist weit überzogen mehr als 2 Euro dürfte man nicht geben.,"Since I have already used it, I can no longer exchange it; I am very disappointed and for my part, I cannot recommend these cloths; the price of these cloths is way over the top; you shouldn't pay more than 2 euros.",1,2
de-en_news,human,1-4,"Grundsätzlich funktioniert der Onforu toll, ist wasserfest (mir shcon in die Dusche gefallen), gibt Bass wie Bass wieder, Bluetooth funktioniert toll... Saugnapf muss man natürlich bewässern, sonst löst er sich.. er kann Ton sehr laut wiedergeben... ja.. was ich kritisch sehe ist der Frequenzgang dieses kleinen Lautsprechers.","In general, the Onforu works well, is waterproof (it has already fallen in the shower), plays bass like bass, Bluetooth works well... you of course have to wet the suction cup, otherwise it will fall off.. it can play sound loudly... yes.. what I am critical of is the frequency response of this small speaker.",1,4
de-en_news,human,1-2,Sehr schlecht An paar stellen war die Farbe abgesplittert und wenn man nur drüber gegangen ist mit der Hand ging die Farbe gleich auch an manche stelle ab.,Very bad The color was chipped in a few places and if you just went over it with your hand the color came off right away in some places.,1,2
de-en_news,human,1-2,"Wir wollten sie kostenlos abholen lassen weil wir sie nicht mehr haben wollten , aber leider nur auf unsere Kosten . sie würden nur die beschädigte teile austauschen aber wie wenn beide kommode beschädigt war.","We wanted it to be picked up for free because we did not want it anymore , but unfortunately only if we paid. They would only replace the damaged parts but what if both dressers were damaged.",1,2
de-en_news,human,1-2,Ein LOB an Amazon Lieber etwas mehr Geld ausgeben,PRAISE to Amazon Rather spend a little more money,1,2
de-en_news,human,1-2,"Fazit: Wenn er nicht so gut aussehen würde und so gute Maße hätte, würde ich weniger Sterne geben, da man sich alles passend machen muss, um wirklich zufrieden zu sein.","Conclusion: If it did not look so good and have such good dimensions, I would give it fewer stars, since you have to adjust everything to really be happy.",1,2
de-en_news,human,1-2,Geht mir auf den Wecker Der Wecker kam schnell und alles ist leicht einzurichten.,Annoys me The alarm clock came quickly and everything is easy to set up.,1,2
de-en_news,human,1-2,"Leider konnte ich nur vier ersetzen, denn die anderen beiden wurden ohne Fassung geliefert stattdessen lacht mich an dieser Stelle eine Platine an... Es lag auch nichts im Karton.","Unfortunately, I could only replace four since the others were delivered without mountings instead, a circuit board was laughing at me... There also wasn't anything in the box.",1,2
de-en_news,human,1-2,"Produkt an sich top, Außensensor leider schon nach 6 Monaten kaputt Prinzipiell bin ich sehr zufrieden mit diesem Produkt.","Product itself is great, unfortunately, the external sensor broke after 6 months In principle, I am very happy with this product.",1,2
de-en_news,human,2-1,"Das einzig ärgerliche ist, dass nach ca. Einem halben Jahr Nutzungsdauer das Gerät welches die Werte außen misst kaputt zu sein scheint.","The only annoying thing is that after about a half year of use, the device that measures the values outside seems to be broken.",2,1
de-en_news,human,1-2,"Starker Mäher mit schwachem Fangkorb Abgesehen davon, dass der erste Versuch der Lieferung Stand heute immer noch munter mit Hermes durch die Republik fährt, ohne den Weg zu mir oder zurück zu Amazon zu finden, war der Service von Amazon mit dem Auslösen einer Ersatzlieferung wie immer hervorragend.","Strong mower with weak catcher attachment Despite the fact that the first delivery attempt as of today is still out driving through the republic without finding its way to me or back to Amazon, Amazon's service with initiating a replacement deliver is outstanding as always.",1,2
de-en_news,human,1-2,"Fazit: Grundsätzlich ein sehr guter Mäher, der durch die unglückliche Konstruktion des Fangkorbs aber für mich unbrauchbar wird.","Conclusion: A very good mower in principle, which because of the unfortunate construction of the catcher attachment is completely unusable for me.",1,2
de-en_news,human,1-3,"3D Drucker Prusa i3 DIY Ich habe mir diesen 3D Drucker bestellt, da ich ihn für eigene Projekte nutzen wollte.",3D Printer Prusa i3 DIY I ordered this 3D printer because I wanted to use it for personal projects.,1,3
de-en_news,human,1-2,"Zum Aufbau: Der Aufbau war recht Problemlos man könnte nur zeigen wie man die Kabel verlegen sollte weil man die sonst mehrmals wieder neu verlegen muss, was sehr anstrengen ist.","Regarding the assembly: The assembly wasn't a problem, but it would be nice if they would show how the cable should be installed because you might have to reposition it multiple times, which is very exhausting.",1,2
de-en_news,human,1-2,"Ekelhafter, dauerhafter Geruch Habe das Armband gekauft und einstweilen nicht getragen, da es einen ekelhaften Geruch verströmt.","Disgusting, permanent smell Purchased the wristband and didn't wear it for the time being because it was emitting a disgusting smell.",1,2
de-en_news,human,1-2,"Rate vom Kauf ab Für den Preis ok Die Sterne und Kugeln an diesem Kettchen sind mir persönlich etwas zu groß geraten, so dass es recht massiv wirkt.","Recommend against buying Okay for the price The stars and spheres on this chain are a little too big for me, so it seems quite massive.",1,2
de-en_news,human,1-2,Nur: wer etwas magnetisches am Arm hat: Die Schließe ist aus Stahl!,Only: if you have something magnetic on your arm: The clasp is made out of steel!,1,2
de-en_news,human,1-2,"Nun zur Funktion: Verbindet sich erst nach einiger Spielerei.... hält man sich an die Anleitung funktioniert es gar nicht, erst nachdem ich von der Basisstation wieder eine Batterie entfernt habe und neu eingelegt hatte, haben sich die Sender endlich verbunden.","Now to the function: Didn't connect until after I played around with it.... if you follow the instructions, it does not work at all, the transmitter didn't finally connect until after I took the battery back out of the base station and put it back in again.",1,2
de-en_news,human,1-2,"Transportschaden Hallo, diese Gartenpumpe hatte ich schon einmal, leider war nach 3,5 Jahren das Gewinde der innenliegenden Welle abgerostet.","Shipping damage Hello, I have had this garden pump once already, unfortunately the internal threads of the shaft have rusted after 3 and a half years.",1,2
de-en_news,human,2-1,"Schön ist das man durch die verschiedenen Teile, die Schraube auf verschiedene Größen bzw. Längen stellen kann, sollte man das ganze dann aber erstmal verschraubt haben, braucht man eine Zange, um das ganze wieder auseinander zu bringen.","It's nice that you can use the various parts to set the screw at various sizes and lengths, but if you have screwed the whole things already, you need pliers to take it all apart again.",2,1
de-en_news,human,1-2,"Fazit: Wenn überhaupt dann für nur einmal alle nötigen Schlüssel und dann nie wieder, aber bei dem Preis kann man sich auch eine günstigere Alternative kaufen.","Conclusion: If at all, then only once you have all the keys you need and then never again, but at this price you can also purchase a cheaper alternative.",1,2
de-en_news,human,2-1,"Im Moment kann ich mir noch nicht so wirklich vorstellen, dort alles z.B. Für einen dreiwöchigen Urlaub zu verpacken.","At the moment, I can't really imagine packing everything into it, such as for a three-week vacation.",2,1
de-en_news,human,1-2,Lange Akkulaufzeit Die Kopfhörer sind wunderbar geschützt.,Long battery life The headphones are wonderfully protected.,1,2
de-en_news,human,1-2,"Schickes Kleid Sehr schönes Kleid, das gut tragbar für die unterschiedlichsten Anlässe ist..",Nice dress Very nice dress that can be worn for various occasions..,1,2
de-en_news,human,1-2,"Es passt in meiner Grösse perfekt, ich bin froh, dass ich es mir nicht kleiner bestellt habe (wurde ja empfohlen).",It fits perfectly in my size; I am happy that I did not order it in a smaller size (as was recommended).,1,2
de-en_news,human,1-2,Für was nutze ich noch meine PlayStation :P Es lag ein kleiner Adapter bei welcher am Tablet befestigt werden kann.,What do I still use my PlayStation for :P There was a small adapter that could be used to attach it to the tablet.,1,2
